config_id,repeat_seed,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db,risk_pair_q10_db_repeat,risk_pair_min_db_repeat,risk_pair_positive_fraction_repeat
18,3,1,0.16,0.17,1.1,anti_phase_plus_decoy,12.17114,12.489478,12.621392,12.559158,0.318339,-0.131914,-0.069679,-0.068341,-0.081267,0.5
18,4,1,0.16,0.17,1.1,anti_phase_plus_decoy,12.179242,12.366471,12.767957,12.335517,0.187229,-0.401486,0.030954,-0.144536,-0.16087,0.5
18,5,1,0.16,0.17,1.1,anti_phase_plus_decoy,11.924872,12.478409,12.245644,12.395044,0.553537,0.232765,0.083365,0.008357,0.005592,1.0
18,6,1,0.16,0.17,1.1,anti_phase_plus_decoy,12.10118,12.465571,12.329832,12.332392,0.36439,0.135739,0.133178,0.058183,0.042732,1.0
18,7,1,0.16,0.17,1.1,anti_phase_plus_decoy,11.924987,12.511082,12.370638,12.503255,0.586095,0.140444,0.007827,-0.113625,-0.134547,0.5
19,0,1,0.18,0.17,0.9,anti_phase_plus_decoy,11.923423,12.176867,12.439674,12.420328,0.253444,-0.262807,-0.24346,-0.380382,-0.408887,0.0
19,1,1,0.18,0.17,0.9,anti_phase_plus_decoy,11.987287,12.31621,12.505043,12.388313,0.328923,-0.188833,-0.072103,-0.217369,-0.253468,0.5
19,2,1,0.18,0.17,0.9,anti_phase_plus_decoy,12.03559,12.323004,12.233758,12.584219,0.287414,0.089246,-0.261215,-0.26186,-0.283122,0.0
19,3,1,0.18,0.17,0.9,anti_phase_plus_decoy,12.158085,12.496386,12.390452,12.522386,0.338301,0.105935,-0.026,-0.454021,-0.506554,0.5
19,4,1,0.18,0.17,0.9,anti_phase_plus_decoy,11.973861,12.46304,12.4412,12.339336,0.489178,0.02184,0.123704,-0.069795,-0.086233,0.5
19,5,1,0.18,0.17,0.9,anti_phase_plus_decoy,12.106641,12.450776,12.65594,12.547535,0.344134,-0.205165,-0.096759,-0.197758,-0.198328,0.0
19,6,1,0.18,0.17,0.9,anti_phase_plus_decoy,12.077233,12.43242,12.444629,12.3969,0.355187,-0.012209,0.03552,-0.222288,-0.249357,0.5
19,7,1,0.18,0.17,0.9,anti_phase_plus_decoy,11.918182,12.542986,12.404277,12.629861,0.624804,0.13871,-0.086874,-0.105647,-0.1231,0.5
20,0,1,0.18,0.17,1.0,anti_phase_plus_decoy,12.062703,12.557128,12.600875,12.527575,0.494424,-0.043748,0.029553,-0.088793,-0.117913,0.5
20,1,1,0.18,0.17,1.0,anti_phase_plus_decoy,12.015355,12.451074,12.527569,12.56378,0.435719,-0.076494,-0.112705,-0.280774,-0.315608,0.5
20,2,1,0.18,0.17,1.0,anti_phase_plus_decoy,12.047847,12.54394,12.423727,12.525859,0.496093,0.120213,0.018081,-0.029136,-0.043634,0.5
20,3,1,0.18,0.17,1.0,anti_phase_plus_decoy,12.022105,12.434499,12.432169,12.307126,0.412394,0.002329,0.127372,-0.032559,-0.04109,0.5
20,4,1,0.18,0.17,1.0,anti_phase_plus_decoy,11.868592,12.392653,12.240583,12.241118,0.524061,0.152069,0.151534,-0.278699,-0.304233,0.0
