config_id,repeat_seed,split,sample,condition,phase_mix,wrongref_mode,psnr_db,mse
3,0,train,box,common_path,0.15,existing_amp_only,11.755593,0.06674837
3,0,train,bars,common_path,0.15,existing_amp_only,12.50849,0.05612431
3,0,train,ring,common_path,0.15,existing_amp_only,12.158782,0.06083055
3,0,train,chevron,common_path,0.15,existing_amp_only,10.794689,0.08327817
3,0,train,cross,noncommon_path,0.15,existing_amp_only,12.861163,0.05174682
3,0,train,diag,noncommon_path,0.15,existing_amp_only,10.358601,0.09207462
3,0,train,box,noncommon_path,0.15,existing_amp_only,11.666269,0.06813545
3,0,train,bars,noncommon_path,0.15,existing_amp_only,12.51086,0.05609369
3,0,train,ring,noncommon_path,0.15,existing_amp_only,12.061665,0.06220617
3,0,train,chevron,noncommon_path,0.15,existing_amp_only,10.633576,0.08642561
3,0,train,cross,wrong_reference,0.15,existing_amp_only,12.859062,0.05177187
3,0,train,diag,wrong_reference,0.15,existing_amp_only,12.555321,0.05552235
3,0,train,box,wrong_reference,0.15,existing_amp_only,12.185033,0.06046397
3,0,train,bars,wrong_reference,0.15,existing_amp_only,12.823153,0.05220171
3,0,train,ring,wrong_reference,0.15,existing_amp_only,12.746724,0.05312851
3,0,train,chevron,wrong_reference,0.15,existing_amp_only,11.922834,0.06422685
3,0,ood,disk,ordinary,0.15,existing_amp_only,13.453146,0.04515287
3,0,ood,two_spots,ordinary,0.15,existing_amp_only,13.38211,0.0458975
3,0,ood,frame,ordinary,0.15,existing_amp_only,9.384395,0.11522866
3,0,ood,disk,common_path,0.15,existing_amp_only,14.223143,0.03781688
3,0,ood,two_spots,common_path,0.15,existing_amp_only,14.251636,0.03756958
3,0,ood,frame,common_path,0.15,existing_amp_only,9.369979,0.11561177
3,0,ood,disk,noncommon_path,0.15,existing_amp_only,13.869095,0.04102896
3,0,ood,two_spots,noncommon_path,0.15,existing_amp_only,13.903484,0.04070536
3,0,ood,frame,noncommon_path,0.15,existing_amp_only,9.234146,0.11928488
3,0,ood,disk,wrong_reference,0.15,existing_amp_only,14.004245,0.03977183
3,0,ood,two_spots,wrong_reference,0.15,existing_amp_only,14.005851,0.03975712
3,0,ood,frame,wrong_reference,0.15,existing_amp_only,9.601367,0.10961331
3,1,train,cross,ordinary,0.15,existing_amp_only,13.14844,0.04843463
3,1,train,diag,ordinary,0.15,existing_amp_only,13.895509,0.04078017
3,1,train,box,ordinary,0.15,existing_amp_only,12.271339,0.05927426
3,1,train,bars,ordinary,0.15,existing_amp_only,13.119965,0.04875324
3,1,train,ring,ordinary,0.15,existing_amp_only,13.411095,0.0455922
3,1,train,chevron,ordinary,0.15,existing_amp_only,13.585003,0.04380258
3,1,train,cross,common_path,0.15,existing_amp_only,12.960996,0.05057087
3,1,train,diag,common_path,0.15,existing_amp_only,10.64549,0.08618883
3,1,train,box,common_path,0.15,existing_amp_only,11.721192,0.06727919
3,1,train,bars,common_path,0.15,existing_amp_only,12.353423,0.05816447
3,1,train,ring,common_path,0.15,existing_amp_only,12.083995,0.06188715
3,1,train,chevron,common_path,0.15,existing_amp_only,10.432347,0.09052432
3,1,train,cross,noncommon_path,0.15,existing_amp_only,12.943021,0.05078061
3,1,train,diag,noncommon_path,0.15,existing_amp_only,10.662614,0.08584966
3,1,train,box,noncommon_path,0.15,existing_amp_only,11.689204,0.06777656
3,1,train,bars,noncommon_path,0.15,existing_amp_only,12.4593,0.05676361
3,1,train,ring,noncommon_path,0.15,existing_amp_only,11.948998,0.06384108
3,1,train,chevron,noncommon_path,0.15,existing_amp_only,10.452062,0.09011432
3,1,train,cross,wrong_reference,0.15,existing_amp_only,12.742701,0.05317774
3,1,train,diag,wrong_reference,0.15,existing_amp_only,11.012778,0.07919945
3,1,train,box,wrong_reference,0.15,existing_amp_only,12.118127,0.06140268
3,1,train,bars,wrong_reference,0.15,existing_amp_only,12.555893,0.05551505
3,1,train,ring,wrong_reference,0.15,existing_amp_only,12.192608,0.06035861
3,1,train,chevron,wrong_reference,0.15,existing_amp_only,11.306116,0.0740267
3,1,ood,disk,ordinary,0.15,existing_amp_only,13.094432,0.04904071
3,1,ood,two_spots,ordinary,0.15,existing_amp_only,13.365327,0.0460752
3,1,ood,frame,ordinary,0.15,existing_amp_only,9.28615,0.11786504
3,1,ood,disk,common_path,0.15,existing_amp_only,14.078724,0.03909557
3,1,ood,two_spots,common_path,0.15,existing_amp_only,13.874198,0.04098078
3,1,ood,frame,common_path,0.15,existing_amp_only,9.657289,0.10821092
3,1,ood,disk,noncommon_path,0.15,existing_amp_only,14.592314,0.0347351
3,1,ood,two_spots,noncommon_path,0.15,existing_amp_only,14.031688,0.0395213
3,1,ood,frame,noncommon_path,0.15,existing_amp_only,9.468439,0.11302021
3,1,ood,disk,wrong_reference,0.15,existing_amp_only,14.177292,0.03821825
3,1,ood,two_spots,wrong_reference,0.15,existing_amp_only,13.91136,0.04063161
3,1,ood,frame,wrong_reference,0.15,existing_amp_only,9.636021,0.10874215
