config_id,repeat_seed,num_layers,reference_weight,phase_mix,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
56,3,2,0.32,0.05,12.028964,11.975074,12.254743,12.333489,-0.05389,-0.279669,-0.358415
57,0,2,0.32,0.1,12.172207,12.116485,12.215081,12.236543,-0.055722,-0.098596,-0.120058
57,1,2,0.32,0.1,12.165143,12.163222,12.195748,12.309363,-0.001921,-0.032526,-0.146141
57,2,2,0.32,0.1,11.792453,11.92286,12.211008,12.436995,0.130407,-0.288148,-0.514134
57,3,2,0.32,0.1,11.982313,12.227916,12.272041,12.365862,0.245603,-0.044125,-0.137946
58,0,2,0.32,0.15,12.073566,12.166446,12.234494,12.444003,0.09288,-0.068048,-0.277557
58,1,2,0.32,0.15,12.064721,12.160544,12.280008,12.551388,0.095822,-0.119464,-0.390844
58,2,2,0.32,0.15,11.897904,12.071517,12.205779,12.469062,0.173613,-0.134262,-0.397544
58,3,2,0.32,0.15,11.95472,11.96909,12.258104,12.373795,0.014369,-0.289014,-0.404705
59,0,2,0.32,0.2,11.930281,12.041496,12.022208,12.368861,0.111215,0.019288,-0.327365
59,1,2,0.32,0.2,12.07999,12.025797,12.23557,12.284998,-0.054194,-0.209773,-0.259201
59,2,2,0.32,0.2,12.102298,12.077208,12.000886,12.477284,-0.02509,0.076322,-0.400076
59,3,2,0.32,0.2,11.951256,12.185638,12.020975,12.482867,0.234382,0.164663,-0.297229
60,0,2,0.32,0.25,12.040678,12.184297,12.150352,12.268488,0.143619,0.033945,-0.08419
60,1,2,0.32,0.25,12.038194,12.183007,12.035005,12.267622,0.144813,0.148002,-0.084615
60,2,2,0.32,0.25,11.985172,11.990716,12.325618,12.404166,0.005545,-0.334902,-0.413449
60,3,2,0.32,0.25,11.987357,12.109323,12.179095,12.320608,0.121965,-0.069772,-0.211285
