config_id,repeat_seed,sample,reference_weight,phase_mix,input_phase_coupling,common_minus_wrongref_db,common_minus_ordinary_db
23,5,two_spots,0.2,0.17,1.0,-0.2656,0.523772
23,6,frame,0.2,0.17,1.0,-0.107271,-0.02248
23,6,two_spots,0.2,0.17,1.0,0.015425,0.71056
23,7,frame,0.2,0.17,1.0,-0.316948,0.011643
23,7,two_spots,0.2,0.17,1.0,0.196902,0.99988
24,0,frame,0.2,0.17,1.1,-0.163774,-0.103009
24,0,two_spots,0.2,0.17,1.1,0.064628,0.593892
24,1,frame,0.2,0.17,1.1,-0.063393,-0.042257
24,1,two_spots,0.2,0.17,1.1,0.144772,0.830637
24,2,frame,0.2,0.17,1.1,-0.333193,-0.210352
24,2,two_spots,0.2,0.17,1.1,0.14816,0.726956
24,3,frame,0.2,0.17,1.1,0.126488,0.183222
24,3,two_spots,0.2,0.17,1.1,-0.032307,1.005692
24,4,frame,0.2,0.17,1.1,-0.27636,0.028862
24,4,two_spots,0.2,0.17,1.1,0.025112,0.535511
24,5,frame,0.2,0.17,1.1,-0.155471,0.055035
24,5,two_spots,0.2,0.17,1.1,0.051947,0.616444
24,6,frame,0.2,0.17,1.1,-0.007826,0.193753
24,6,two_spots,0.2,0.17,1.1,0.02824,0.743843
24,7,frame,0.2,0.17,1.1,-0.190393,-0.021643
24,7,two_spots,0.2,0.17,1.1,-0.076112,0.734066
25,0,frame,0.14,0.18,0.9,-0.10319,0.082143
25,0,two_spots,0.14,0.18,0.9,0.126314,0.883215
25,1,frame,0.14,0.18,0.9,-0.146381,0.225967
25,1,two_spots,0.14,0.18,0.9,-0.32293,0.359028
25,2,frame,0.14,0.18,0.9,-0.015215,0.135363
25,2,two_spots,0.14,0.18,0.9,0.18938,0.958923
25,3,frame,0.14,0.18,0.9,-0.365362,-0.027753
25,3,two_spots,0.14,0.18,0.9,-0.208409,0.601011
25,4,frame,0.14,0.18,0.9,0.143899,0.028451
25,4,two_spots,0.14,0.18,0.9,-0.212402,0.496634
25,5,frame,0.14,0.18,0.9,0.027384,0.140488
25,5,two_spots,0.14,0.18,0.9,0.166973,0.595785
25,6,frame,0.14,0.18,0.9,0.177271,0.228009
25,6,two_spots,0.14,0.18,0.9,-0.444774,0.579527
25,7,frame,0.14,0.18,0.9,0.156103,0.2898
25,7,two_spots,0.14,0.18,0.9,-0.531599,0.404373
26,0,frame,0.14,0.18,1.0,-0.140716,0.167729
26,0,two_spots,0.14,0.18,1.0,-0.211515,0.354474
26,1,frame,0.14,0.18,1.0,0.074238,0.199999
26,1,two_spots,0.14,0.18,1.0,-0.06669,0.582785
26,2,frame,0.14,0.18,1.0,0.070136,0.248958
26,2,two_spots,0.14,0.18,1.0,0.186473,0.717558
26,3,frame,0.14,0.18,1.0,0.141515,0.142083
26,3,two_spots,0.14,0.18,1.0,-0.33044,0.392027
26,4,frame,0.14,0.18,1.0,0.085029,0.309411
26,4,two_spots,0.14,0.18,1.0,0.336998,0.732149
26,5,frame,0.14,0.18,1.0,-0.168005,0.020412
26,5,two_spots,0.14,0.18,1.0,0.539864,1.550569
26,6,frame,0.14,0.18,1.0,0.00523,0.249404
26,6,two_spots,0.14,0.18,1.0,-0.318325,0.515478
26,7,frame,0.14,0.18,1.0,-0.159646,0.169938
26,7,two_spots,0.14,0.18,1.0,-0.309798,0.393476
27,0,frame,0.14,0.18,1.1,0.114395,0.148654
27,0,two_spots,0.14,0.18,1.1,-0.189327,0.27575
27,1,frame,0.14,0.18,1.1,-0.022943,0.03174
27,1,two_spots,0.14,0.18,1.1,-0.01517,0.718285
27,2,frame,0.14,0.18,1.1,-0.090172,0.204923
27,2,two_spots,0.14,0.18,1.1,-0.110646,0.680704
27,3,frame,0.14,0.18,1.1,-0.27953,-0.004625
27,3,two_spots,0.14,0.18,1.1,-0.253595,0.967351
27,4,frame,0.14,0.18,1.1,0.242789,0.331742
27,4,two_spots,0.14,0.18,1.1,-0.017796,0.712218
27,5,frame,0.14,0.18,1.1,0.148083,0.174695
27,5,two_spots,0.14,0.18,1.1,-0.383922,0.336265
27,6,frame,0.14,0.18,1.1,-0.084515,0.152008
27,6,two_spots,0.14,0.18,1.1,0.13868,0.979803
27,7,frame,0.14,0.18,1.1,-0.101569,0.235394
27,7,two_spots,0.14,0.18,1.1,-0.110364,0.885298
28,0,frame,0.16,0.18,0.9,-0.025007,-0.023046
28,0,two_spots,0.16,0.18,0.9,-0.077824,0.797872
