point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
267,10.38304115874041,-20.3841766697769,-61.22128345041092,3.338378737642335,-19.442515147355937,-55.748979850911226
268,10.34828542269778,-20.14488773118773,-61.41758213868695,3.3467723469776005,-19.308136678779825,-55.85911863823087
269,10.31579952358739,-19.91234725344048,-61.60954649675175,3.358636409425108,-19.167088459869646,-55.97891954278201
270,10.28554375039811,-19.68669460201284,-61.79700777355649,3.374130779017926,-19.020079970857257,-56.10793596875405
271,10.257470555826,-19.46805778264515,-61.97980056367427,3.393442031505412,-18.867917146705544,-56.24565342516634
272,10.23152489956164,-19.25655360862705,-62.15776296829864,3.4167813884109983,-18.711493223414724,-56.39149623606984
273,10.20764464867861,-19.05228792138494,-62.33073676037365,3.444381399396435,-18.551777890371163,-56.5448346963352
274,10.18576103401345,-18.85535586421561,-62.49856755291881,3.4764913471796164,-18.389804903316488,-56.70499248411247
275,10.16579916071906,-18.66584220828224,-62.66110496963026,3.513371371609833,-18.22665833567704,-56.87125415026435
276,10.14767857045655,-18.48382172924721,-62.81820281686594,3.5552853494071055,-18.063457670563086,-57.04287252042344
277,10.13131385197968,-18.3093596321818,-62.96971925614487,3.60249261341779,-17.90134196325345,-57.21907586517672
278,10.11661529617762,-18.14251202167565,-63.11551697631774,3.6552386490631257,-17.74145333511457,-57.39907471657452
279,10.10348959098846,-17.98332641338977,-63.25546336459398,3.713744963933437,-17.584920094184312,-57.582068233157855
280,10.09184055099469,-17.83184228266535,-63.38943067563736,3.778198386020976,-17.432839813220436,-57.767250039660276
281,10.08156987597202,-17.68809164523029,-63.51729619797414,3.848740102573632,-17.286262729628554,-57.95381349040493
282,10.07257793219819,-17.55209966455103,-63.6389424169864,3.925454799807892,-17.146175858934324,-58.14095632640401
283,10.06476454994664,-17.42388527996118,-63.75425717379581,4.008360298151504,-17.013488229266596,-58.32788471477675
284,10.05802983029642,-17.30346184937378,-63.86313381937568,4.097398092978643,-16.889017643609606,-58.51381667507208
285,10.05227495419084,-17.19083780015085,-63.96547136326123,4.192425202715529,-16.773479355185128,-58.69798491036265
286,10.04740298657261,-17.08601728156449,-64.06117461626255,4.293207692380193,-16.667476996784956,-58.87963907166136
287,10.04331966841309,-16.98900081223934,-64.15015432661883,4.399416181249268,-16.571496037169112,-59.058047492502716
288,10.03993418953398,-16.89978591601113,-64.232327309067,4.5106235614383605,-16.485899949521194,-59.232498436698876
289,10.03715993528617,-16.81836773976736,-64.30761656633271,4.626305055477842,-16.41092917386038,-59.402300906612
290,10.03491520039854,-16.74473964704689,-64.37595140258853,4.74584063332769,-16.346702844814633,-59.56678506208526
291,10.03312386362699,-16.67889378145766,-64.43726752845775,4.868519701712827,-16.29322314699262,-59.72530230171282
292,10.03171601721805,-16.62082159431827,-64.49150715717997,4.993547880120572,-16.250382061055536,-59.87722505866083
293,10.03062854563968,-16.57051433133045,-64.53861909159095,5.120055595994275,-16.217970181977616,-60.021946362984615
294,10.02980564851667,-16.52796347353809,-64.57855880160352,5.247108172098958,-16.19568723224116,-60.15887922149656
295,10.02919930323244,-16.4931611283149,-64.6112884919155,5.373717044509826,-16.18315385948962,-60.28745586485944
296,10.02876966321396,-16.46610036664055,-64.63677715970512,5.498851740164543,-16.17992430033288,-60.4071269098187
297,10.02848538849575,-16.44677550346751,-64.65500064211226,5.621452255946415,-16.18549950701532,-60.51736048241203
298,10.02832390575711,-16.4351823185411,-64.66594165333979,5.7404415125538915,-16.199340367191844,-60.617641345664936
