point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
183,13.8514335470842,-35.74827015756004,-49.71288874329076,2.2884641219697497,-11.675667915749187,-62.18566513096674
184,13.89485895637512,-35.82280535099732,-49.68170168993199,2.3702569936664486,-11.684453206487403,-62.25582879745906
185,13.93595297122212,-35.89542418575198,-49.65022586130133,2.4502525001657514,-11.693517655263229,-62.32381380717905
186,13.9746385633548,-35.96584120663618,-49.61865103045977,2.5284141084503347,-11.70287505312774,-62.38957009127577
187,14.01084023777854,-36.03374265564879,-49.58719719102844,2.6047067058282676,-11.712540012151504,-62.45304827981315
188,14.04448443550683,-36.0987865347374,-49.55611491213726,2.679096636888115,-11.722527941993741,-62.514199761074586
189,14.07549992648788,-36.16060296357239,-49.52568538798902,2.751551740646246,-11.732855026743982,-62.572976740741844
190,14.10381819101704,-36.21879488834595,-49.4962201243065,2.8220413877936656,-11.7435382019788,-62.62933230091182
191,14.12937378805142,-36.27293920195248,-49.46806019971119,2.890536517947557,-11.75459513197359,-62.683220458919465
192,14.15210470897037,-36.32258833804529,-49.44157503807228,2.9570096768124774,-11.766044187004804,-62.734596225935235
193,14.17195271545623,-36.36727240045406,-49.41716062900608,3.021435053153464,-11.777904420674425,-62.783415665309775
194,14.18886366030317,-36.40650188426328,-49.3952371390247,3.083788515483157,-11.790195547184704,-62.82963595063913
195,14.2027877900925,-36.43977103448736,-49.37624586632806,3.1440476483617528,-11.802937918486936,-62.87321542352842
196,14.21368002880584,-36.46656187188893,-49.36064550875664,3.2021917882082858,-11.816152501224598,-62.91411365103102
197,14.22150024157357,-36.48634889254878,-49.348907737487,3.258202058518987,-11.829860853386013,-62.95229148274589
198,14.22621347788311,-36.49860441833076,-49.34151209864534,3.312061404386358,-11.84408510057924,-62.987711107554404
199,14.22779019369044,-36.50280454014818,-49.33894030036957,3.3637546262109668,-11.858847911835825,-63.020336109983084
200,14.22779019369044,-36.50280454014818,-49.33894030036957,3.4132684124950807,-11.874172474847528,-63.05013152617816
201,14.22619039876601,-36.49839089108794,-49.34169802211166,3.4605913716052017,-11.89008247053477,-63.07706389948104
202,14.22137973442918,-36.48481717552979,-49.35028492778327,3.505714062387772,-11.906602046841964,-63.10110133559529
203,14.21334585230362,-36.46160369598757,-49.36515716217517,3.548629023520115,-11.923755791650208,-63.122213557336494
204,14.20208260570028,-36.42830237869182,-49.38674601016404,3.5893308014755574,-11.94156870469418,-63.140371958959534
205,14.18759016432582,-36.38450362103874,-49.41545116898382,3.627815976979412,-11.96006616836577,-63.1555496600574
