method,object_id,fixed_psnr_lowres,guided_psnr_lowres,method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
trainable_surrogate_ridge,natural_object_eval_object_09,25.72687137189792,26.765139198695927,21.834097288450725,-3.892774083447197,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_10,27.240342910415904,28.403698049288142,22.421207053009038,-4.819135857406867,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_11,21.10153436555518,22.32987344444367,19.674213660192848,-1.4273207053623338,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_00,27.7124921582196,29.682409064414674,24.47780410977636,-3.234688048443239,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_01,30.35935587138447,32.343297586571985,27.34722032756722,-3.012135543817248,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_02,24.337118845515402,26.774618967287324,21.329538613593428,-3.007580231921974,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_03,25.337556954253003,26.99160208672295,22.463329111396064,-2.874227842856939,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_04,26.000978698810616,27.550394077293667,24.028006493024744,-1.9729722057858723,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_05,23.928953243300075,25.694395438934553,22.08079524451471,-1.8481579987853642,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
trainable_surrogate_ridge,natural_object_eval_object_06,26.55535453296903,28.741508288712645,23.797804939186985,-2.757549593782045,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
