epsilon,route,eta,n_bar,ratio_to_lb
0.015894902256865417,on-off,0.99,0.870861023580563,1.2568872018784583
0.015894902256865417,homodyne,0.7,1.6463559124038443,2.376135364893725
0.015894902256865417,on-off,0.7,1.231646304778225,1.7775976140852483
0.015894902256865417,homodyne,0.5,2.304898277365382,3.326589510851215
0.015894902256865417,on-off,0.5,1.724304826689515,2.4886366597193477
0.01612676174624067,lower-bound,,0.6893097546771659,1.0
0.01612676174624067,homodyne,0.99,1.157820873222648,1.6796815442788946
0.01612676174624067,on-off,0.99,0.8672040369008825,1.2580759680486928
0.01612676174624067,homodyne,0.7,1.6374895207006022,2.375549612623008
0.01612676174624067,on-off,0.7,1.2264742807598197,1.7792788690974373
0.01612676174624067,homodyne,0.5,2.2924853289808427,3.3257694576722105
0.01612676174624067,on-off,0.5,1.7170639930637475,2.490990416736412
0.01636200337801256,lower-bound,,0.6857491193864212,1.0
0.01636200337801256,homodyne,0.99,1.151555679634956,1.6792667275538296
0.01636200337801256,on-off,0.99,0.8635470502212022,1.2592754781717648
0.01636200337801256,homodyne,0.7,1.628628746912295,2.374962943254702
0.01636200337801256,on-off,0.7,1.2213022567414145,1.7809753191286386
0.01636200337801256,homodyne,0.5,2.2800802456772127,3.324948120556582
0.01636200337801256,on-off,0.5,1.7098231594379802,2.493365446780094
0.016600676487609288,lower-bound,,0.6821893707439696,1.0
0.016600676487609288,homodyne,0.99,1.1452944877238718,1.6788512645321012
0.016600676487609288,on-off,0.99,0.8598900635415216,1.2604858715458414
0.016600676487609288,homodyne,0.7,1.6197736326380476,2.374375359838258
0.016600676487609288,on-off,0.7,1.2161302327230092,1.7826871611862616
0.016600676487609288,homodyne,0.5,2.2676830856932666,3.324125503773561
0.016600676487609288,on-off,0.5,1.7025823258122128,2.495762025660766
0.01684283113011666,lower-bound,,0.6786305221201181,1.0
0.01684283113011666,homodyne,0.99,1.1390373272259384,1.678435157421829
0.01684283113011666,on-off,0.99,0.8562330768618411,1.2617072898325774
0.01684283113011666,homodyne,0.7,1.6109242199338274,2.373786865496587
0.01684283113011666,on-off,0.7,1.2109582087046038,1.7844145956203592
0.01684283113011666,homodyne,0.5,2.255293907907358,3.3233016116952214
0.01684283113011666,on-off,0.5,1.6953414921864454,2.498180433868503
0.01708851809077574,lower-bound,,0.6750725870933715,1.0
0.01708851809077574,homodyne,0.99,1.1327842282054243,1.6780184084837462
0.01708851809077574,on-off,0.99,0.8525760901821606,1.2629398771072273
0.01708851809077574,homodyne,0.7,1.6020805513191005,2.373197463427013
0.01708851809077574,on-off,0.7,1.2057861846861986,1.7861578261945072
