ab1_pattern,ab2_pattern,ab7_first_pattern,ab7_second_pattern,ab7_second_conjugated,overall_rmse_meV,gamma_start_max_abs_delta_meV,gamma_end_max_abs_delta_meV,k_b_rmse_meV,k_t_rmse_meV,m_rmse_meV
cyc,anti,const,const,False,9.202128854631594,3.509999999999998,3.597099746843753,14.307807397423472,10.51633040432886,5.996642438176313
cyc,anti,const,const,True,9.202128854631594,3.509999999999998,3.597099746843753,14.307807397423472,10.51633040432886,5.996642438176313
cyc,const,const,const,False,9.205562172792373,1.4099999999999966,1.532752128390726,15.072056096741347,10.516330567609964,5.680989887316027
cyc,const,const,const,True,9.205562172792373,1.4099999999999966,1.532752128390726,15.072056096741347,10.516330567609964,5.680989887316027
cyc,anti,anti,anti,False,9.262505021228549,8.189999999999998,8.10703184071755,15.496434921237594,10.303285509161073,5.394072200217212
cyc,anti,anti,anti,True,9.262505021228549,8.189999999999998,8.10703184071755,15.496434921237594,10.303285509161073,5.394072200217212
cyc,const,cyc,cyc,False,9.291639815935657,6.089999999999996,6.2066848825707694,16.15257114292643,10.465244953643271,5.436958662045857
cyc,const,cyc,cyc,True,9.291639815935657,6.089999999999996,6.2066848825707694,16.15257114292643,10.465244953643271,5.436958662045857
cyc,anti,cyc,cyc,False,9.31119147377394,8.189999999999998,8.10703456373587,15.496435189169276,10.465244847650645,5.394072204409303
cyc,anti,cyc,cyc,True,9.31119147377394,8.189999999999998,8.10703456373587,15.496435189169276,10.465244847650645,5.394072204409303
cyc,const,anti,anti,False,9.325502648465983,6.089999999999996,6.206684803650891,16.15257113365964,10.30328560064518,5.436958653216824
cyc,const,anti,anti,True,9.325502648465983,6.089999999999996,6.206684803650891,16.15257113365964,10.30328560064518,5.436958653216824
cyc,cyc,const,const,False,9.33573244508818,3.509999999999998,3.6647664686695194,15.072055940250829,10.91232141155465,5.996642609583031
cyc,cyc,const,const,True,9.33573244508818,3.509999999999998,3.6647664686695194,15.072055940250829,10.91232141155465,5.996642609583031
cyc,cyc,cyc,cyc,False,9.349040323069062,8.189999999999998,8.03933045959846,16.152571039932987,10.761273414552955,5.394072239472001
cyc,cyc,cyc,cyc,True,9.349040323069062,8.189999999999998,8.03933045959846,16.152571039932987,10.761273414552955,5.394072239472001
cyc,cyc,anti,anti,False,9.384447717932582,8.189999999999998,8.039328998532056,16.152571030666106,10.572298477745777,5.394072235279913
cyc,cyc,anti,anti,True,9.384447717932582,8.189999999999998,8.039328998532056,16.152571030666106,10.572298477745777,5.394072235279913
cyc,const,const,cyc,False,9.400599047488999,3.749999999999993,3.917212210523509,16.15257113207568,10.51633057444014,5.405513267346174
cyc,const,const,cyc,True,9.400599047488999,3.749999999999993,3.917212210523509,16.15257113207568,10.51633057444014,5.405513267346174
cyc,anti,const,cyc,False,9.415477950923647,5.849999999999998,5.980829697367142,15.496435175824343,10.516330411159025,5.610676470050466
cyc,anti,const,cyc,True,9.415477950923647,5.849999999999998,5.980829697367142,15.496435175824343,10.516330411159025,5.610676470050466
cyc,anti,anti,const,False,9.425809163653494,5.849999999999998,5.980827964476305,15.496434907892667,10.516330406444046,5.661625099688901
cyc,anti,anti,const,True,9.425809163653494,5.849999999999998,5.980827964476305,15.496434907892667,10.516330406444046,5.661625099688901
cyc,const,anti,const,False,9.4426272701425,3.749999999999993,3.917211523270332,16.152571122808872,10.516330569725186,5.671965867218826
cyc,const,anti,const,True,9.4426272701425,3.749999999999993,3.917211523270332,16.152571122808872,10.516330569725186,5.671965867218826
cyc,cyc,const,cyc,False,9.503061346844373,5.849999999999998,6.048461584941485,16.15257102908222,10.912321421383455,5.610676581690161
cyc,cyc,const,cyc,True,9.503061346844373,5.849999999999998,6.048461584941485,16.15257102908222,10.912321421383455,5.610676581690161
cyc,cyc,anti,const,False,9.582540670329307,5.849999999999998,6.048459779340028,16.152571019815344,10.912321415949316,5.661625161061125
cyc,cyc,anti,const,True,9.582540670329307,5.849999999999998,6.048459779340028,16.152571019815344,10.912321415949316,5.661625161061125
cyc,anti,anti,cyc,False,9.637681816245772,8.189999999999998,8.012741869111363,16.21061507931191,10.516330413274229,5.394072206330217
cyc,anti,anti,cyc,True,9.637681816245772,8.189999999999998,8.012741869111363,16.21061507931191,10.516330413274229,5.394072206330217
cyc,const,anti,cyc,False,9.641579129874184,6.089999999999996,6.300872481306548,16.56735908900738,10.516330576555337,5.4369586579997495
cyc,const,anti,cyc,True,9.641579129874184,6.089999999999996,6.300872481306548,16.56735908900738,10.516330576555337,5.4369586579997495
cyc,cyc,anti,cyc,False,9.708521459986153,8.189999999999998,7.945036328193616,16.567359089152145,10.912321425778135,5.3940722413929265
