point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
287,10.04331966841309,-16.98900081223934,-64.15015432661883,-0.24508362899291194,-17.311550897521883,-53.6734928219078
288,10.03993418953398,-16.89978591601113,-64.232327309067,-0.2059492270943811,-17.29157776578655,-53.71024783190076
289,10.03715993528617,-16.81836773976736,-64.30761656633271,-0.16246739022779913,-17.277988363449683,-53.74646927131704
290,10.03491520039854,-16.74473964704689,-64.37595140258853,-0.11517973354951222,-17.270200945350364,-53.78226659467232
291,10.03312386362699,-16.67889378145766,-64.43726752845775,-0.06462897713125555,-17.267551098872538,-53.81782567098881
292,10.03171601721805,-16.62082159431827,-64.49150715717997,-0.011356230610560115,-17.269301333199287,-53.853401675785975
293,10.03062854563968,-16.57051433133045,-64.53861909159095,0.04410191224004969,-17.274652066862455,-53.88931079434559
294,10.02980564851667,-16.52796347353809,-64.57855880160352,0.10121640923060622,-17.282753874410158,-53.9259208164592
295,10.02919930323244,-16.4931611283149,-64.6112884919155,0.1594688757521694,-17.292720832900397,-53.96364072269101
296,10.02876966321396,-16.46610036664055,-64.63677715970512,0.21835470470481888,-17.30364478902418,-54.00290938566768
297,10.02848538849575,-16.44677550346751,-64.65500064211226,0.27738615052128995,-17.314610347627376,-54.044183536374874
298,10.02832390575711,-16.4351823185411,-64.66594165333979,0.3360953357692132,-17.32471036227005,-54.08792517380206
299,10.02827159563746,-16.4313182156091,-64.66958981124654,0.3940371479108165,-17.333061688740067,-54.13458862500657
300,10.02827159563746,-16.4313182156091,-64.66958981124654,0.4507920027802603,-17.338820944132152,-54.18460748986641
301,10.0283239057571,-16.43518231854111,-64.66594165333979,0.708333698524338,-17.304731862924925,-54.47721512765253
302,10.02848538849576,-16.44677550346751,-64.65500064211226,0.9762124573412833,-17.27075052178887,-54.78200238670924
303,10.02876966321396,-16.46610036664054,-64.63677715970512,1.2539431009739845,-17.237886967255598,-55.0974642409982
304,10.02919930323244,-16.49316112831491,-64.6112884919155,1.5409190995935453,-17.20707002053574,-55.42204904398835
305,10.02980564851667,-16.52796347353809,-64.57855880160353,1.8364155440254935,-17.17913388599358,-55.75417495205275
306,10.0306285456397,-16.57051433133044,-64.53861909159096,2.139594583950434,-17.154808675791443,-56.092244921206856
307,10.03171601721806,-16.62082159431828,-64.49150715718,2.4495131158638217,-17.13471473174677,-56.43466017960942
308,10.03312386362699,-16.67889378145769,-64.43726752845772,2.765132411027374,-17.119360460675427,-56.77983214937602
309,10.03491520039855,-16.74473964704689,-64.37595140258856,3.085329306668441,-17.10914327667625,-57.12619284700867
310,10.03715993528616,-16.81836773976735,-64.30761656633271,3.4089085464147573,-17.104353165444454,-57.47220383275946
