kind,phi_frac_pi,phi,strength,min_abs_energy,edge_weight,nu_ring,glr_zero_bias,gll_zero_bias,glr_probe_0p13,gll_probe_0p13,grr_probe_0p13
dot,0.24,0.7539822368615503,2.15,0.0019456874525848092,0.5676195453758367,-1,-2.690119757776188e-07,1.991592203584272,-2.6025889889568054e-07,2.0333892432233083,1.9133670561583451
impurity,0.16,0.5026548245743669,2.05,0.011106373211243196,1.8446844670201007e-05,1,-7.631313887135015e-07,2.0784147192620974,-1.6085431649411548e-08,2.1062904404810365,2.0348859095295433
impurity,0.16,0.5026548245743669,2.0749999999999997,0.007650675590067054,1.8354375979463076e-05,1,-1.4864245109432322e-06,2.07862128876261,-2.0812538944366755e-08,2.106293659163443,2.03488866039793
impurity,0.16,0.5026548245743669,2.0999999999999996,0.004240814659299501,1.828116304044254e-05,-1,-4.333020283570126e-06,2.0790813388088365,-2.5393740064753563e-08,2.106296773207856,2.0348915411626693
impurity,0.16,0.5026548245743669,2.125,0.0008763500961308761,1.8226221465141515e-05,-1,-4.223017411369027e-05,2.0792705575785857,-2.9865526176756855e-08,2.1062997984188296,2.0348945534701794
impurity,0.16,0.5026548245743669,2.15,0.002443168160105482,1.8188660308640752e-05,-1,-9.94795257201714e-06,2.0755071660686544,-3.4260712836864355e-08,2.1063027490491693,2.0348976997960375
impurity,0.16,0.5026548245743669,2.175,0.005718198847152131,1.8167672574645673e-05,-1,-1.909787945605044e-06,2.076843917850054,-3.8609257301936036e-08,2.10630563806759,2.034900983412199
impurity,0.16,0.5026548245743669,2.2,0.008949208382867986,1.8162526810376254e-05,1,-7.281992986664983e-07,2.077234817743895,-4.29389384142169e-08,2.106308477383607,2.034904408369875
impurity,0.16,0.5026548245743669,2.225,0.012136669928556786,1.8172559651028836e-05,1,-3.630186453030179e-07,2.07741602187561,-4.727593275908473e-08,2.1063112780385884,2.0349079794962917
impurity,0.16,0.5026548245743669,2.25,0.015281062509238745,1.8197169194034477e-05,1,-2.0795776611603447e-07,2.0775200118179318,-5.164531328329344e-08,2.1063140503700515,2.0349117024041377
impurity,0.17,0.5340707511102649,2.05,0.013545506513702333,2.3192080342972412e-05,1,-3.4896907039000933e-07,2.0780140985528313,-3.020172399631784e-09,2.110463914913623,2.027342735800272
impurity,0.17,0.5340707511102649,2.0749999999999997,0.010209280939047419,2.3054941304454748e-05,1,-5.3712909134964e-07,2.0781738550113014,-8.830016118075373e-09,2.1104673947701476,2.0273461329760996
impurity,0.17,0.5340707511102649,2.0999999999999996,0.006917588188873693,2.294197882008941e-05,1,-1.0015502884736862e-06,2.0784655190322043,-1.4404139789425154e-08,2.110470765468215,2.027349644932287
impurity,0.17,0.5340707511102649,2.125,0.0036699869039049137,2.285189340111433e-05,-1,-2.8722291117726775e-06,2.079131180978463,-1.9787485578248273e-08,2.1104740432638036,2.0273532743136
impurity,0.17,0.5340707511102649,2.15,0.0004660267980793801,2.2783507202355557e-05,-1,-2.7257419752919204e-05,2.0777103449937644,-2.501988188930897e-08,2.110477242794684,2.0273570243648
impurity,0.17,0.5340707511102649,2.175,0.00269475031603566,2.2735751545748528e-05,-1,-3.297117252914686e-06,2.0747705631824367,-3.013705437694897e-08,2.1104803773503664,2.0273608989157728
impurity,0.17,0.5340707511102649,2.2,0.005812809564844553,2.270765588701113e-05,-1,-6.003066695888551e-07,2.0761916367372875,-3.5171456372896876e-08,2.110483459098428,2.027364902376609
impurity,0.17,0.5340707511102649,2.225,0.008888622110759182,2.269833803920194e-05,1,-1.8206879780168335e-07,2.0766472903613553,-4.015296018890104e-08,2.110486499276083,2.0273690397415662
impurity,0.17,0.5340707511102649,2.25,0.01192266430535372,2.2706995493257352e-05,1,-5.895275466383975e-08,2.0768663732300663,-4.510944121082001e-08,2.1104895083540316,2.0273733166012136
impurity,0.18,0.5654866776461628,2.05,0.015936489357348673,2.9364637985731842e-05,1,1.2214019715876455e-07,2.077580992186921,2.9406204690999927e-08,2.1153185766438143,2.0183981468678964
impurity,0.18,0.5654866776461628,2.0749999999999997,0.012720450229678335,2.9168227130415986e-05,1,2.465286720460607e-07,2.077723554070345,2.2174032932789786e-08,2.115322255853058,2.0184021996657178
impurity,0.18,0.5654866776461628,2.0999999999999996,0.009547595653989329,2.9002286045118016e-05,1,5.29586372943965e-07,2.0779518318093047,1.53162411767649e-08,2.1153258293244526,2.0184063357368505
