kind,phi_frac_pi,phi,strength,min_abs_energy,edge_weight,nu_ring,glr_zero_bias,gll_zero_bias,glr_probe_0p13,gll_probe_0p13,grr_probe_0p13,abs_glr_probe_0p13,nonlocal_local_ratio,score
impurity,0.22,0.6911503837897545,2.175,0.011251153745371369,6.333196855549506e-05,1,8.945874308103472e-06,2.077089253819265,4.1291687128637125e-07,2.144792450394395,1.9613271849585074,4.1291687128637125e-07,1.9252066614205122e-07,0.011251266600622497
impurity,0.21,0.6597344572538565,2.15,0.011398951676984358,5.428037388512829e-05,1,6.500795123267315e-06,2.077131575540785,2.709014011015072e-07,2.135524330670604,1.9797529737432247,2.709014011015072e-07,1.2685474813412117e-07,0.01139902574507204
impurity,0.2,0.6283185307179586,2.125,0.011674916514261979,4.5097801819337575e-05,1,3.782935000231427e-06,2.0772536847780176,1.560062454078332e-07,2.127670409067903,1.9950337341109887,1.560062454078332e-07,7.332256196399185e-08,0.01167495918195143
impurity,0.17,0.5340707511102649,2.25,0.01192266430535372,2.2706995493257352e-05,1,-5.895275466383975e-08,2.0768663732300663,-4.510944121082001e-08,2.1104895083540316,2.0273733166012136,4.510944121082001e-08,2.137392345816531e-08,0.011922676651410195
impurity,0.19,0.5969026041820606,2.0999999999999996,0.01210616733792958,3.654241453489732e-05,1,1.5914007909843834e-06,2.077458910704751,7.31553301877358e-08,2.1210020403797705,2.007758825241289,7.31553301877358e-08,3.4490928719067694e-08,0.012106187351308563
impurity,0.16,0.5026548245743669,2.225,0.012136669928556786,1.8172559651028836e-05,1,-3.630186453030179e-07,2.07741602187561,-4.727593275908473e-08,2.1063112780385884,2.0349079794962917,4.727593275908473e-08,2.244489371158303e-08,0.012136682869784662
impurity,0.18,0.5654866776461628,2.0749999999999997,0.012720450229678335,2.9168227130415986e-05,1,2.465286720460607e-07,2.077723554070345,2.2174032932789786e-08,2.115322255853058,2.0184021996657178,2.2174032932789786e-08,1.0482579130170185e-08,0.012720456297315526
impurity,0.17,0.5340707511102649,2.05,0.013545506513702333,2.3192080342972412e-05,1,-3.4896907039000933e-07,2.0780140985528313,-3.020172399631784e-09,2.110463914913623,2.027342735800272,3.020172399631784e-09,1.431046689919545e-09,0.013545507340297767
impurity,0.24,0.7539822368615503,2.2,0.013547360392737523,8.090110491146052e-05,1,6.5353064230051856e-06,2.076123506861293,8.311885697533449e-07,2.1686405479692117,1.9120113649099781,8.311885697533449e-07,3.832763205187222e-07,0.013547587353695987
impurity,0.22999999999999998,0.7225663103256523,2.175,0.01365397529414972,7.210200237288e-05,1,6.764653622814436e-06,2.0763601288844007,6.196925714618793e-07,2.1557275496628665,1.939032271526189,6.196925714618793e-07,2.8746330748465535e-07,0.01365414459045796
impurity,0.22,0.6911503837897545,2.15,0.013843658646438817,6.36229741219128e-05,1,5.859597460467368e-06,2.0765266435215297,4.3973286584265495e-07,2.144786432619612,1.9613234095526104,4.3973286584265495e-07,2.0502408032559745e-07,0.013843778830859294
impurity,0.21,0.6597344572538565,2.125,0.014140650831595013,5.4564311805910276e-05,1,4.187192706214875e-06,2.0767132075587127,2.883831104301444e-07,2.1355198031261096,1.9797481445937983,2.883831104301444e-07,1.3504117826863084e-07,0.014140729679431535
impurity,0.2,0.6283185307179586,2.0999999999999996,0.01457059178603257,4.5361279477494426e-05,1,2.392089282628033e-06,2.0769557063052813,1.679581676170835e-07,2.1276664732551476,1.9950287084528027,1.679581676170835e-07,7.894008282234287e-08,0.014570637722578616
impurity,0.19,0.5969026041820606,2.0749999999999997,0.015160143921646038,3.677439662091616e-05,1,9.77208307425302e-07,2.07725232460519,8.208289823373061e-08,2.1209982951534356,2.0077541371653465,8.208289823373061e-08,3.87001245693093e-08,0.015160166377376825
impurity,0.16,0.5026548245743669,2.25,0.015281062509238745,1.8197169194034477e-05,1,-2.0795776611603447e-07,2.0775200118179318,-5.164531328329344e-08,2.1063140503700515,2.0349117024041377,5.164531328329344e-08,2.4519284422102224e-08,0.015281076646531286
impurity,0.24,0.7539822368615503,2.175,0.01588971472986718,8.130152337743486e-05,1,4.646703606873341e-06,2.0754974724644324,8.943251165487551e-07,2.168624867922253,1.912013656491871,8.943251165487551e-07,4.123927239687161e-07,0.015889958930782516
impurity,0.18,0.5654866776461628,2.05,0.015936489357348673,2.9364637985731842e-05,1,1.2214019715876455e-07,2.077580992186921,2.9406204690999927e-08,2.1153185766438143,2.0183981468678964,2.9406204690999927e-08,1.3901548927753524e-08,0.015936497403977293
impurity,0.22999999999999998,0.7225663103256523,2.15,0.016136813726757106,7.245037066571955e-05,1,4.777344630582756e-06,2.07584708239088,6.634159885846258e-07,2.1557180655041033,1.9390305783880886,6.634159885846258e-07,3.077471025551245e-07,0.01613699496810938
