model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
compressed_v3,K_T,s_wave,1.0,0.05,3.623472759512984,3.623472759512984,0.37043312953881297,3.2530396299741713,2.623472759512983,0.0
compressed_v3,total,s_wave,1.0,0.05,3.8885693671856942,3.8885693671856942,0.4710814900754112,3.417487877110283,2.8885693671856942,0.0
compressed_v3,K_B,s_wave,2.0,0.05,1.2098602815920383,1.2098602815920383,0.411419762675604,0.7984405189164343,0.2098602815920384,0.0
compressed_v3,K_T,s_wave,2.0,0.05,2.0493891038051943,2.0493891038051943,-0.021850513781108187,2.0712396175863024,1.049389103805194,0.0
compressed_v3,total,s_wave,2.0,0.05,2.1554277468742784,2.1554277468742784,0.13922187315268103,2.0162058737215975,1.155427746874278,0.0
compressed_v3,K_B,s_wave,0.0,0.2,2.0321185246420663,2.0321185246420663,1.0143900260205219,1.0177284986215445,1.0321185246420665,0.0
compressed_v3,K_T,s_wave,0.0,0.2,6.161023922098686,6.161023922098686,1.024210832282003,5.136813089816684,5.161023922098686,0.0
compressed_v3,total,s_wave,0.0,0.2,6.682534934136048,6.682534934136048,1.0241517521975882,5.65838318193846,5.68253493413605,0.0
compressed_v3,K_B,s_wave,0.5,0.2,1.8256948197136529,1.8256948197136529,0.8636921144762315,0.9620027052374214,0.8256948197136532,0.0
compressed_v3,K_T,s_wave,0.5,0.2,5.128819137678949,5.128819137678949,0.7627690998720054,4.366050037806944,4.12881913767895,0.0
compressed_v3,total,s_wave,0.5,0.2,5.546027947308841,5.546027947308841,0.8029925069565567,4.743035440352284,4.546027947308841,0.0
compressed_v3,K_B,s_wave,1.0,0.2,1.5160592623210332,1.5160592623210332,0.6376452471597958,0.8784140151612374,0.5160592623210333,0.0
compressed_v3,K_T,s_wave,1.0,0.2,3.580511961049343,3.580511961049343,0.3706065012570086,3.2099054597923344,2.580511961049343,0.0
compressed_v3,total,s_wave,1.0,0.2,3.841267467068025,3.841267467068025,0.4712536390950093,3.3700138279730156,2.841267467068025,0.0
compressed_v3,K_B,s_wave,2.0,0.2,1.206423704928413,1.206423704928413,0.4115983798433601,0.7948253250850529,0.2064237049284133,0.0
compressed_v3,K_T,s_wave,2.0,0.2,2.032204784419737,2.032204784419737,-0.02155609735798807,2.053760881777725,1.0322047844197375,0.0
compressed_v3,total,s_wave,2.0,0.2,2.1365069868272095,2.1365069868272095,0.1395147712334619,1.9969922155937476,1.1365069868272102,0.0
compressed_v3,K_B,s_wave,0.0,0.5,1.9454205685721324,1.9454205685721324,1.0143165414535924,0.93110402711854,0.945420568572133,0.0
compressed_v3,K_T,s_wave,0.0,0.5,5.727497912642396,5.727497912642396,1.0240535348513429,4.703444377791053,4.727497912642398,0.0
compressed_v3,total,s_wave,0.0,0.5,6.2052019996686205,6.2052019996686205,1.023990434953356,5.181211564715264,5.205201999668622,0.0
compressed_v3,K_B,s_wave,0.5,0.5,1.7563364548577063,1.7563364548577063,0.8638856107379755,0.8924508441197307,0.7563364548577063,0.0
compressed_v3,K_T,s_wave,0.5,0.5,4.781998330113918,4.781998330113918,0.7630602424788167,4.018938087635101,3.7819983301139173,0.0
compressed_v3,total,s_wave,0.5,0.5,5.164161599734898,5.164161599734898,0.803278437592363,4.360883162142535,4.164161599734897,0.0
compressed_v3,K_B,s_wave,1.0,0.5,1.4727102842860662,1.4727102842860662,0.63823921466455,0.8344710696215162,0.4727102842860665,0.0
compressed_v3,K_T,s_wave,1.0,0.5,3.363748956321199,3.363748956321199,0.3715703039200274,2.9921786524011713,2.363748956321199,0.0
compressed_v3,total,s_wave,1.0,0.5,3.6026009998343107,3.6026009998343107,0.47221044155087366,3.130390558283437,2.602600999834311,0.0
