model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_T,s_wave,0.0,0.05,0.8333333333333428,4.901545931882218,3.9015459318822177,0.0
baseline,K_T,s_wave,0.0,0.05,1.6666666666666714,3.3024011534381006,2.3024011534381015,0.0
baseline,K_T,s_wave,0.0,0.05,2.5,2.382021540833014,1.3820215408330145,0.0
baseline,K_T,s_wave,0.0,0.05,3.333333333333343,1.8394561664891633,0.8394561664891631,0.0
baseline,K_T,s_wave,0.0,0.05,4.166666666666671,1.5117503116342847,0.5117503116342842,0.0
baseline,K_T,s_wave,0.0,0.05,5.0,1.2915514920535007,0.2915514920535009,0.0
baseline,K_T,s_wave,0.0,0.05,5.833333333333343,1.1892164732942918,0.18921647329429161,0.0
baseline,K_T,s_wave,0.0,0.05,6.666666666666671,1.1312299573494917,0.1312299573494918,0.0
baseline,K_T,s_wave,0.0,0.05,7.5,1.0935261989625136,0.0935261989625137,0.0
baseline,K_T,s_wave,0.0,0.05,8.333333333333343,1.066203429722793,0.06620342972279324,0.0
baseline,K_T,s_wave,0.0,0.05,9.166666666666671,1.0442372833028457,0.0442372833028456,0.0
baseline,K_T,s_wave,0.0,0.05,10.0,1.0249793111418137,0.02497931114181349,0.0
baseline,K_T,s_wave,0.0,0.05,10.833333333333345,1.010997891175335,0.010997891175335036,0.0
baseline,K_T,s_wave,0.0,0.05,11.666666666666671,1.005232908474568,0.005232908474567874,0.0
baseline,K_T,s_wave,0.0,0.05,12.5,1.003116398092781,0.0031163980927812877,0.0
baseline,K_T,s_wave,0.0,0.05,13.333333333333345,1.0021101268864283,0.0021101268864282922,0.0
baseline,K_T,s_wave,0.0,0.05,14.166666666666671,1.0015330611764213,0.0015330611764215215,0.0
baseline,K_T,s_wave,0.0,0.05,15.0,1.0011639012890419,0.0011639012890419594,0.0
baseline,K_T,s_wave,0.0,0.05,15.833333333333345,1.0009108735610448,0.0009108735610446189,0.0
baseline,K_T,s_wave,0.0,0.05,16.66666666666667,1.0007290775653133,0.0007290775653131366,0.0
baseline,K_T,s_wave,0.0,0.05,17.5,1.0005939087767743,0.0005939087767742123,0.0
baseline,K_T,s_wave,0.0,0.05,18.333333333333343,1.000490744863041,0.0004907448630407932,0.0
baseline,K_T,s_wave,0.0,0.05,19.16666666666667,1.0004103558838804,0.00041035588388040094,0.0
baseline,K_T,s_wave,0.0,0.05,20.0,1.0003466400154362,0.0003466400154363137,0.0
baseline,total,s_wave,0.0,0.05,-80.0,1.000022893631625,2.289363162516765e-05,0.0
baseline,total,s_wave,0.0,0.05,-79.16666666666667,1.0000245558874217,2.455588742194041e-05,0.0
baseline,total,s_wave,0.0,0.05,-78.33333333333333,1.0000263987167004,2.6398716700388917e-05,0.0
baseline,total,s_wave,0.0,0.05,-77.5,1.0000284517333315,2.8451733331759577e-05,0.0
baseline,total,s_wave,0.0,0.05,-76.66666666666667,1.0000307519911447,3.07519911447394e-05,0.0
baseline,total,s_wave,0.0,0.05,-75.83333333333333,1.0000333468328537,3.3346832853563664e-05,0.0
baseline,total,s_wave,0.0,0.05,-75.0,1.000036298344815,3.629834481484312e-05,0.0
baseline,total,s_wave,0.0,0.05,-74.16666666666667,1.0000396906876434,3.9690687643239585e-05,0.0
baseline,total,s_wave,0.0,0.05,-73.33333333333333,1.000043642928807,4.364292880718724e-05,0.0
baseline,total,s_wave,0.0,0.05,-72.5,1.0000483332753618,4.833327536177402e-05,0.0
baseline,total,s_wave,0.0,0.05,-71.66666666666667,1.0000540493648404,5.4049364840332753e-05,0.0
baseline,total,s_wave,0.0,0.05,-70.83333333333333,1.0000613059828178,6.130598281784127e-05,0.0
baseline,total,s_wave,0.0,0.05,-70.0,1.0000711678676295,7.11678676293796e-05,0.0
baseline,total,s_wave,0.0,0.05,-69.16666666666667,1.000086347355187,8.634735518671533e-05,0.0
baseline,total,s_wave,0.0,0.05,-68.33333333333333,1.0001161329748127,0.00011613297481277005,0.0
baseline,total,s_wave,0.0,0.05,-67.5,1.0001975800829155,0.00019758008291540072,0.0
baseline,total,s_wave,0.0,0.05,-66.66666666666667,1.0003570409184985,0.00035704091849852863,0.0
baseline,total,s_wave,0.0,0.05,-65.83333333333333,1.000518272783191,0.0005182727831910171,0.0
baseline,total,s_wave,0.0,0.05,-65.0,1.0006694891712704,0.0006694891712702375,0.0
baseline,total,s_wave,0.0,0.05,-64.16666666666667,1.0008422294670922,0.0008422294670920579,0.0
baseline,total,s_wave,0.0,0.05,-63.33333333333333,1.0010641444200052,0.0010641444200053189,0.0
baseline,total,s_wave,0.0,0.05,-62.5,1.0013372636858289,0.0013372636858290092,0.0
baseline,total,s_wave,0.0,0.05,-61.66666666666666,1.0016598623720838,0.0016598623720835714,0.0
baseline,total,s_wave,0.0,0.05,-60.83333333333333,1.0019574210101871,0.0019574210101872473,0.0
baseline,total,s_wave,0.0,0.05,-60.0,1.00230346494519,0.0023034649451901383,0.0
baseline,total,s_wave,0.0,0.05,-59.16666666666666,1.0026193841641002,0.00261938416410005,0.0
baseline,total,s_wave,0.0,0.05,-58.33333333333333,1.002988676113234,0.0029886761132341105,0.0
baseline,total,s_wave,0.0,0.05,-57.5,1.0034206774390153,0.0034206774390156463,0.0
baseline,total,s_wave,0.0,0.05,-56.66666666666666,1.0039117946113356,0.003911794611335174,0.0
baseline,total,s_wave,0.0,0.05,-55.83333333333333,1.004410801678537,0.0044108016785363675,0.0
baseline,total,s_wave,0.0,0.05,-55.0,1.0046737370025451,0.00467373700254524,0.0
