method,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,object_family,aberration_id,better_than_fixed,condition
trainable_surrogate_ridge,natural_object_eval_object_02,17.286927749285475,19.309275386771198,15.847241149158398,-1.439686600127077,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_03,21.283035485854747,26.023754976853937,17.99831299572932,-3.284722490125425,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_04,20.16467487081345,22.496487198273872,18.436155971186626,-1.728518899626824,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_05,20.053058153249864,23.36371479498932,19.650470626867747,-0.402587526382117,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_06,19.728304667830628,21.97809973582199,17.88489816796616,-1.843406499864468,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_07,27.19828963419568,29.89714827601544,20.888909571779017,-6.309380062416665,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_08,18.416885301603877,20.3218825116638,17.547163052745987,-0.8697222488578866,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_09,21.239195482710016,24.16203260569564,20.70568387812006,-0.5335116045899575,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_10,17.095284365085792,19.877579422953204,17.65828510579925,0.5630007407134592,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_11,21.66281951363726,25.22396649059306,18.8264015786868,-2.836417934950461,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_00,19.51877954062885,22.94328866936817,16.442038181059047,-3.0767413595698017,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
trainable_surrogate_ridge,natural_object_eval_object_01,19.52164511559177,22.114277115881656,16.381280392716093,-3.140364722875681,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
