sample_id,psnr_fixed,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,method,object_family,aberration_id,psnr_guided,better_than_fixed,condition
Kodak-PCD0992:kodim08,20.820290889204514,21.703302680647205,0.8830117914426907,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim09,22.953347925725645,23.46749813459082,0.5141502088651748,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim10,24.19164094993334,24.21253634362457,0.0208953936912301,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim11,25.160801960568733,24.603204892548742,-0.5575970680199909,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim12,19.81548289244387,22.8747918271278,3.0593089346839264,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim01,26.76139708326009,25.472198030902568,-1.2891990523575174,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim02,29.280019767186864,27.406403768007767,-1.8736159991790975,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim03,23.72914971373481,23.69179484609421,-0.0373548676405945,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim04,25.281016212952807,24.360591009944805,-0.9204252030080012,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim05,26.228848875267023,24.187763879511344,-2.041084995755682,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim06,24.11596052223843,24.754624016914907,0.6386634946764751,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,phase_mask_quantization:3.0
Kodak-PCD0992:kodim07,25.70490625102257,25.22355406562725,-0.4813521853953162,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim08,21.605922750868988,22.16858821382869,0.562665462959707,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,phase_mask_quantization:3.0
Kodak-PCD0992:kodim09,24.57493164866385,24.2587681324078,-0.3161635162560436,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim10,25.72687137189792,24.965941052011544,-0.760930319886377,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim11,27.240342910415904,25.433471388351656,-1.8068715220642488,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim12,21.10153436555518,23.812074492268444,2.710540126713262,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,phase_mask_quantization:3.0
Kodak-PCD0992:kodim01,27.7124921582196,25.874391007451397,-1.8381011507682068,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim02,30.35935587138447,28.02936839537645,-2.3299874760080144,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim03,24.3371188455154,23.997775798742587,-0.3393430467728144,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim04,25.337556954253003,24.25497058645213,-1.082586367800868,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim05,26.000978698810616,24.190225149903725,-1.810753548906892,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim06,23.928953243300075,24.454831032421268,0.5258777891211928,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,phase_mask_quantization:3.0
Kodak-PCD0992:kodim07,26.55535453296903,25.536585571128636,-1.0187689618403972,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim08,22.24660801146845,22.54332634284916,0.2967183313807098,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,phase_mask_quantization:3.0
Kodak-PCD0992:kodim09,24.682652435451,23.97077726058059,-0.7118751748704071,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim10,26.03509499288373,25.475946893515243,-0.559148099368489,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim11,27.48778396245473,25.526798150163295,-1.9609858122914368,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,phase_mask_quantization:3.0
Kodak-PCD0992:kodim12,21.386338698185973,23.83297300046628,2.4466343022803088,0,Kodak-PCD0992,unrestricted public release,phase_mask_quantization,3.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,phase_mask_quantization:3.0
