c1_pattern,c2_pattern,c7_first_pattern,c7_second_pattern,c7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
const,const,const,const,False,12.952502095572664,5.564737908178685,17.156402018536255,11.225061192730237,17.170052931646538,22.43439171467421
const,cyc,cyc,anti,False,13.04189357297246,24.329014454307767,17.90904414216137,5.871748997927868,17.06535551330507,22.589222295294302
const,anti,cyc,anti,False,13.057773636483407,24.44473650404578,17.905836782920282,5.830923430383076,17.294698617922993,22.616727372122682
const,anti,anti,cyc,True,13.072561312570793,24.650341633892886,16.723681835705708,10.299874006698703,17.931363028420215,22.642340378431904
const,cyc,cyc,anti,True,13.105356047394613,24.335842175553687,17.879233046105238,6.258596762303504,17.422401341948547,22.69914252536751
const,anti,anti,cyc,False,13.10574472899998,24.64443702081006,17.094484163841457,10.088833412888388,17.912167679169734,22.69981574165597
const,cyc,anti,cyc,True,13.115411891941145,24.535188520081775,17.096988545843725,10.31054246064891,17.978561500808507,22.716559759035118
const,anti,cyc,anti,True,13.134468656468908,24.451585638900035,17.80402533916987,6.2192150908524795,17.59038726704343,22.74956704342508
const,cyc,anti,cyc,False,13.159295244269785,24.529304513341117,17.42880817751571,10.101892204182574,17.914719978349662,22.79256795487477
const,const,anti,anti,False,13.205714629765298,29.27129580906209,17.1732301502207,9.306482134199806,17.1969060867791,22.87296868900912
const,const,anti,anti,True,13.274489636875717,29.27805178918903,17.171823322102686,9.419762693196986,17.167820612798785,22.99209049561528
const,const,cyc,cyc,True,13.391601671033388,29.2780517891891,17.17182030688816,11.600675753647321,17.16777947198154,23.194934488954104
const,const,cyc,cyc,False,13.467643566149487,29.271916467888666,17.17482129872436,11.471895960833702,17.17420010676953,23.326642914799013
const,const,anti,cyc,True,13.697279641317245,29.37964270625917,16.870716884175554,10.42644523643245,18.020641581796443,23.72438426424028
const,const,anti,cyc,False,13.746582219944976,29.373740511836225,17.177674866379675,10.366737713766907,18.026969993987162,23.80977883536767
const,const,cyc,anti,False,13.801063370245055,29.17253241785952,18.02063435013962,7.948207066690877,17.17409443920525,23.904142955742195
const,const,cyc,anti,True,13.883473235421695,29.17943708510027,18.008301829944838,8.233331621888277,17.45054563589924,24.04688102927304
