k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight
0.0,12.5,0.0034962411159415335,0.0006036035315120875,-0.002892637584429446
0.0,13.333333333333343,0.0031499471410772442,0.000675771177460915,-0.0024741759636163294
0.0,14.166666666666671,0.002855051362199766,0.0007155644164214734,-0.002139486945778293
0.0,15.0,0.00260164994229039,0.0007340247079552891,-0.0018676252343351007
0.0,15.833333333333343,0.0023821428516919434,0.0007383585284642785,-0.0016437843232276648
0.0,16.66666666666667,0.0021906145174950243,0.0007333414872736112,-0.001457273030221413
0.0,17.5,0.002022401420406191,0.0007221806294956329,-0.001300220790910558
0.0,18.333333333333343,0.0018737845603637047,0.0007070535317429144,-0.0011667310286207905
0.0,19.16666666666667,0.0017417670522073482,0.0006894514949404887,-0.0010523155572668597
0.0,20.0,0.0016239108394920383,0.0006704018682542949,-0.0009535089712377434
0.024390243902439025,-80.0,0.0007948813760507657,0.0008682408352949665,7.335945924420077e-05
0.024390243902439025,-79.16666666666667,0.0008325329560884165,0.0009078744028272725,7.534144673885601e-05
0.024390243902439025,-78.33333333333333,0.000873191269882068,0.0009504691534766669,7.727788359459891e-05
0.024390243902439025,-77.5,0.0009172098147716047,0.0009963460425741243,7.913622780251963e-05
0.024390243902439025,-76.66666666666667,0.0009649986788936473,0.0010458731577700957,8.087447887644846e-05
0.024390243902439025,-75.83333333333333,0.001017036257932187,0.0010994746734949202,8.243841556273331e-05
0.024390243902439025,-75.0,0.0010738839971779956,0.0011576419320363169,8.375793485832124e-05
0.024390243902439025,-74.16666666666667,0.0011362051076694466,0.001220947266101491,8.474215843204446e-05
0.024390243902439025,-73.33333333333333,0.001204788559666926,0.001290061389799301,8.527283013237512e-05
0.024390243902439025,-72.5,0.0012805801667549936,0.001365775482955122,8.51953162001283e-05
0.024390243902439025,-71.66666666666667,0.0013647233188285128,0.0014490295179589165,8.430619913040371e-05
0.024390243902439025,-70.83333333333333,0.0014586130281632726,0.0015409489912117044,8.23359630484318e-05
0.024390243902439025,-70.0,0.0015639686240013725,0.0016428931203342444,7.89244963328719e-05
0.024390243902439025,-69.16666666666667,0.0016829330060217783,0.0017565189097298746,7.358590370809635e-05
0.024390243902439025,-68.33333333333333,0.0018182104199106245,0.0018838675255456385,6.565710563501397e-05
0.024390243902439025,-67.5,0.0019732612492799127,0.0020274825815651356,5.4221332285222905e-05
0.024390243902439025,-66.66666666666667,0.0021525831216932466,0.002190574946960609,3.79918252673625e-05
0.024390243902439025,-65.83333333333333,0.0023621260277149315,0.0023772568222529813,1.5130794538049854e-05
0.024390243902439025,-65.0,0.0026099215424119247,0.0025928814030306683,-1.7040139381256387e-05
0.024390243902439025,-64.16666666666667,0.0029070654235227706,0.002844547786856823,-6.251763666594761e-05
0.024390243902439025,-63.33333333333333,0.003269305731801871,0.003141872270856832,-0.0001274334609450388
0.024390243902439025,-62.5,0.0037197148130049254,0.003498203806504809,-0.00022151100650011617
0.024390243902439025,-61.666666666666664,0.004293403926896225,0.003932609047626782,-0.00036079487926944306
0.024390243902439025,-60.83333333333333,0.005046333145572484,0.004473251198277573,-0.0005730819472949105
0.024390243902439025,-60.0,0.006072979172714773,0.005163425628855294,-0.0009095535438594787
0.024390243902439025,-59.166666666666664,0.007545087364690434,0.0060729684784210725,-0.0014721188862693614
0.024390243902439025,-58.33333333333333,0.00980732553067305,0.007321293702582251,-0.0024860318280907987
0.024390243902439025,-57.5,0.013655931743009235,0.009127535504394093,-0.004528396238615142
0.024390243902439025,-56.666666666666664,0.021393356275947916,0.011928283405010318,-0.009465072870937598
0.024390243902439025,-55.83333333333333,0.0440055506986809,0.016663929357722398,-0.027341621340958504
0.024390243902439025,-55.0,0.1300944611130538,0.025341403759224418,-0.10475305735382939
0.024390243902439025,-54.166666666666664,0.12483824272458861,0.04081960164833079,-0.08401864107625782
0.024390243902439025,-53.33333333333333,0.11715441503096674,0.06328535121728716,-0.05386906381367958
0.024390243902439025,-52.5,0.10931602374798706,0.0909166138442794,-0.018399409903707656
0.024390243902439025,-51.666666666666664,0.10137245234622684,0.1260238588990522,0.02465140655282537
0.024390243902439025,-50.83333333333333,0.09316453621441351,0.14688820217865098,0.05372366596423747
0.024390243902439025,-50.0,0.08466689934044788,0.13533103656469914,0.050664137224251254
0.024390243902439025,-49.166666666666664,0.07615221870949543,0.11745885930388181,0.04130664059438638
0.024390243902439025,-48.33333333333333,0.06810852060456991,0.09940894421437058,0.03130042360980066
0.024390243902439025,-47.5,0.06097302481863611,0.08385986516077881,0.0228868403421427
0.024390243902439025,-46.666666666666664,0.054952971392436316,0.07149655618320071,0.01654358479076439
0.024390243902439025,-45.83333333333333,0.05003975264044012,0.062016793199345874,0.011977040558905756
0.024390243902439025,-45.0,0.046088146748202094,0.05483056627918349,0.008742419530981399
0.024390243902439025,-44.166666666666664,0.042890357645129995,0.04936682050155358,0.006476462856423587
