config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,wrongref_mode,psnr_db,mse
1,5,train,diag,noncommon_path,1,0.16,0.14,task_matched_decoy,10.232166,0.09479457
1,5,train,box,noncommon_path,1,0.16,0.14,task_matched_decoy,11.61388,0.06896235
1,5,train,bars,noncommon_path,1,0.16,0.14,task_matched_decoy,12.220279,0.05997526
1,5,train,ring,noncommon_path,1,0.16,0.14,task_matched_decoy,12.204649,0.06019149
1,5,train,chevron,noncommon_path,1,0.16,0.14,task_matched_decoy,10.450064,0.09015578
1,5,train,cross,wrong_reference,1,0.16,0.14,task_matched_decoy,12.821117,0.05222619
1,5,train,diag,wrong_reference,1,0.16,0.14,task_matched_decoy,10.250306,0.09439944
1,5,train,box,wrong_reference,1,0.16,0.14,task_matched_decoy,11.95381,0.06377038
1,5,train,bars,wrong_reference,1,0.16,0.14,task_matched_decoy,12.312802,0.05871104
1,5,train,ring,wrong_reference,1,0.16,0.14,task_matched_decoy,12.045241,0.06244187
1,5,train,chevron,wrong_reference,1,0.16,0.14,task_matched_decoy,10.419821,0.0907858
1,5,ood,disk,ordinary,1,0.16,0.14,task_matched_decoy,13.538142,0.04427777
1,5,ood,two_spots,ordinary,1,0.16,0.14,task_matched_decoy,13.219432,0.04764934
1,5,ood,frame,ordinary,1,0.16,0.14,task_matched_decoy,9.354584,0.11602233
1,5,ood,disk,common_path,1,0.16,0.14,task_matched_decoy,14.020215,0.03962584
1,5,ood,two_spots,common_path,1,0.16,0.14,task_matched_decoy,14.219849,0.03784557
1,5,ood,frame,common_path,1,0.16,0.14,task_matched_decoy,9.422141,0.11423151
1,5,ood,disk,noncommon_path,1,0.16,0.14,task_matched_decoy,14.180729,0.03818802
1,5,ood,two_spots,noncommon_path,1,0.16,0.14,task_matched_decoy,13.848119,0.0412276
1,5,ood,frame,noncommon_path,1,0.16,0.14,task_matched_decoy,9.448459,0.11354135
1,5,ood,disk,wrong_reference,1,0.16,0.14,task_matched_decoy,14.228251,0.03777243
1,5,ood,two_spots,wrong_reference,1,0.16,0.14,task_matched_decoy,13.953181,0.04024221
1,5,ood,frame,wrong_reference,1,0.16,0.14,task_matched_decoy,9.379223,0.11536597
1,6,train,cross,ordinary,1,0.16,0.14,task_matched_decoy,13.248001,0.04733691
1,6,train,diag,ordinary,1,0.16,0.14,task_matched_decoy,12.536285,0.05576625
1,6,train,box,ordinary,1,0.16,0.14,task_matched_decoy,12.15311,0.06091005
1,6,train,bars,ordinary,1,0.16,0.14,task_matched_decoy,13.299346,0.04678056
1,6,train,ring,ordinary,1,0.16,0.14,task_matched_decoy,13.675765,0.04289666
1,6,train,chevron,ordinary,1,0.16,0.14,task_matched_decoy,13.698513,0.04267256
1,6,train,cross,common_path,1,0.16,0.14,task_matched_decoy,12.722633,0.05342403
