config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,psnr_db,mse
3,0,train,ring,noncommon_path,1,0.12,0.15,12.530501,0.05584057
3,0,train,chevron,noncommon_path,1,0.12,0.15,11.08965,0.07780993
3,0,train,cross,wrong_reference,1,0.12,0.15,12.992264,0.05020808
3,0,train,diag,wrong_reference,1,0.12,0.15,12.598507,0.05497299
3,0,train,box,wrong_reference,1,0.12,0.15,12.320767,0.05860346
3,0,train,bars,wrong_reference,1,0.12,0.15,13.082902,0.04917108
3,0,train,ring,wrong_reference,1,0.12,0.15,12.200664,0.06024675
3,0,train,chevron,wrong_reference,1,0.12,0.15,11.608953,0.06904063
3,0,ood,disk,ordinary,1,0.12,0.15,14.080281,0.03908156
3,0,ood,two_spots,ordinary,1,0.12,0.15,13.366572,0.046062
3,0,ood,frame,ordinary,1,0.12,0.15,9.351055,0.11611664
3,0,ood,disk,common_path,1,0.12,0.15,14.500388,0.03547817
3,0,ood,two_spots,common_path,1,0.12,0.15,13.746881,0.04219995
3,0,ood,frame,common_path,1,0.12,0.15,9.409966,0.1145522
3,0,ood,disk,noncommon_path,1,0.12,0.15,14.4321,0.03604043
3,0,ood,two_spots,noncommon_path,1,0.12,0.15,13.898997,0.04074743
3,0,ood,frame,noncommon_path,1,0.12,0.15,9.341908,0.11636148
3,0,ood,disk,wrong_reference,1,0.12,0.15,14.000292,0.03980804
3,0,ood,two_spots,wrong_reference,1,0.12,0.15,14.136206,0.03858153
3,0,ood,frame,wrong_reference,1,0.12,0.15,9.641426,0.10860689
3,1,train,cross,ordinary,1,0.12,0.15,13.145552,0.04846685
3,1,train,diag,ordinary,1,0.12,0.15,12.540538,0.05571167
3,1,train,box,ordinary,1,0.12,0.15,12.202,0.06022822
3,1,train,bars,ordinary,1,0.12,0.15,13.229739,0.04753638
3,1,train,ring,ordinary,1,0.12,0.15,13.845856,0.0412491
3,1,train,chevron,ordinary,1,0.12,0.15,13.601411,0.04363741
3,1,train,cross,common_path,1,0.12,0.15,13.104634,0.04892564
3,1,train,diag,common_path,1,0.12,0.15,11.050026,0.0785231
3,1,train,box,common_path,1,0.12,0.15,11.858336,0.06518781
3,1,train,bars,common_path,1,0.12,0.15,12.608098,0.05485172
3,1,train,ring,common_path,1,0.12,0.15,12.3544,0.05815138
3,1,train,chevron,common_path,1,0.12,0.15,11.286921,0.07435461
3,1,train,cross,noncommon_path,1,0.12,0.15,13.031658,0.04975471
3,1,train,diag,noncommon_path,1,0.12,0.15,11.445703,0.07168524
3,1,train,box,noncommon_path,1,0.12,0.15,12.006836,0.06299649
3,1,train,bars,noncommon_path,1,0.12,0.15,12.389122,0.05768831
3,1,train,ring,noncommon_path,1,0.12,0.15,12.050321,0.06236887
3,1,train,chevron,noncommon_path,1,0.12,0.15,10.529112,0.08852966
3,1,train,cross,wrong_reference,1,0.12,0.15,13.075214,0.04925821
3,1,train,diag,wrong_reference,1,0.12,0.15,11.902691,0.06452543
3,1,train,box,wrong_reference,1,0.12,0.15,12.040627,0.06250824
3,1,train,bars,wrong_reference,1,0.12,0.15,13.050503,0.04953928
3,1,train,ring,wrong_reference,1,0.12,0.15,12.186087,0.0604493
3,1,train,chevron,wrong_reference,1,0.12,0.15,11.198495,0.07588404
3,1,ood,disk,ordinary,1,0.12,0.15,13.229211,0.04754216
3,1,ood,two_spots,ordinary,1,0.12,0.15,13.430447,0.04538949
3,1,ood,frame,ordinary,1,0.12,0.15,9.407499,0.11461728
3,1,ood,disk,common_path,1,0.12,0.15,13.874323,0.0409796
3,1,ood,two_spots,common_path,1,0.12,0.15,13.970135,0.04008543
3,1,ood,frame,common_path,1,0.12,0.15,9.418255,0.11433375
3,1,ood,disk,noncommon_path,1,0.12,0.15,13.462635,0.04505432
3,1,ood,two_spots,noncommon_path,1,0.12,0.15,13.785072,0.04183047
3,1,ood,frame,noncommon_path,1,0.12,0.15,9.320289,0.11694215
3,1,ood,disk,wrong_reference,1,0.12,0.15,14.029502,0.03954119
3,1,ood,two_spots,wrong_reference,1,0.12,0.15,13.713978,0.04252088
3,1,ood,frame,wrong_reference,1,0.12,0.15,9.516337,0.11178058
3,2,train,cross,ordinary,1,0.12,0.15,13.385827,0.04585823
3,2,train,diag,ordinary,1,0.12,0.15,13.995278,0.03985402
3,2,train,box,ordinary,1,0.12,0.15,12.03579,0.0625779
3,2,train,bars,ordinary,1,0.12,0.15,13.250896,0.04730536
3,2,train,ring,ordinary,1,0.12,0.15,13.347793,0.04626161
3,2,train,chevron,ordinary,1,0.12,0.15,13.634928,0.04330193
3,2,train,cross,common_path,1,0.12,0.15,12.936925,0.05085194
3,2,train,diag,common_path,1,0.12,0.15,11.129307,0.07710264
3,2,train,box,common_path,1,0.12,0.15,11.957257,0.06371978
3,2,train,bars,common_path,1,0.12,0.15,12.481052,0.05648002
3,2,train,ring,common_path,1,0.12,0.15,12.581807,0.05518477
3,2,train,chevron,common_path,1,0.12,0.15,10.570857,0.08768278
3,2,train,cross,noncommon_path,1,0.12,0.15,13.048489,0.04956227
3,2,train,diag,noncommon_path,1,0.12,0.15,11.408763,0.07229756
3,2,train,box,noncommon_path,1,0.12,0.15,11.918707,0.0642879
3,2,train,bars,noncommon_path,1,0.12,0.15,12.939006,0.05082758
3,2,train,ring,noncommon_path,1,0.12,0.15,12.93616,0.05086089
3,2,train,chevron,noncommon_path,1,0.12,0.15,11.275739,0.07454631
3,2,train,cross,wrong_reference,1,0.12,0.15,12.859392,0.05176794
