config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,psnr_db,mse
1,4,ood,disk,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.063822,0.03922995
1,4,ood,two_spots,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.22023,0.03784226
1,4,ood,frame,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.281354,0.11799527
1,4,ood,disk,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.308391,0.04668323
1,4,ood,two_spots,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.076886,0.03911212
1,4,ood,frame,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.310466,0.11720695
1,5,train,cross,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.06276,0.04939967
1,5,train,diag,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.452142,0.05685724
1,5,train,box,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.214379,0.06005679
1,5,train,bars,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.30422,0.04672809
1,5,train,ring,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.562332,0.04403183
1,5,train,chevron,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.701527,0.04264295
1,5,train,cross,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.855112,0.05181897
1,5,train,diag,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.02788,0.06269198
1,5,train,box,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.830853,0.06560164
1,5,train,bars,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.613301,0.05478604
1,5,train,ring,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.47765,0.05652428
1,5,train,chevron,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.83601,0.08248957
1,5,train,cross,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.050949,0.0495342
1,5,train,diag,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.911602,0.08106619
1,5,train,box,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.979219,0.06339838
1,5,train,bars,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.585545,0.0551373
1,5,train,ring,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.284019,0.05910145
1,5,train,chevron,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.787296,0.08342005
1,5,train,cross,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.760464,0.05296068
1,5,train,diag,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.478999,0.07113774
1,5,train,box,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.32122,0.05859735
1,5,train,bars,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.979034,0.05036126
1,5,train,ring,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.494905,0.05630015
1,5,train,chevron,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.321204,0.07376996
1,5,ood,disk,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.579307,0.04386006
1,5,ood,two_spots,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.257737,0.04723091
1,5,ood,frame,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.384806,0.11521775
1,5,ood,disk,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.0814,0.03907149
1,5,ood,two_spots,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.084598,0.03904273
1,5,ood,frame,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.505904,0.11204942
1,5,ood,disk,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.643844,0.04321312
1,5,ood,two_spots,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.967491,0.04010984
1,5,ood,frame,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.553336,0.11083231
1,5,ood,disk,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.042382,0.0394241
1,5,ood,two_spots,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.235141,0.03771255
1,5,ood,frame,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.521789,0.11164033
1,6,train,cross,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.172571,0.04816626
1,6,train,diag,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.451962,0.04516519
1,6,train,box,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.222018,0.05995124
1,6,train,bars,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.174848,0.04814101
1,6,train,ring,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.940913,0.04035605
1,6,train,chevron,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.521679,0.04444594
1,6,train,cross,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.908753,0.05118288
1,6,train,diag,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.194283,0.07595768
1,6,train,box,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.857057,0.06520702
1,6,train,bars,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.740117,0.0532094
1,6,train,ring,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.214463,0.06005563
1,6,train,chevron,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.585893,0.08737974
1,6,train,cross,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.968955,0.05047828
1,6,train,diag,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.645351,0.0861916
1,6,train,box,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.889384,0.06472344
1,6,train,bars,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.652569,0.0542929
1,6,train,ring,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.227923,0.05986979
