candidate,barrier_Z,orientation_alpha,intervalley_eta,field_phi,inner_gap,outer_gap,inner_signal,outer_signal,zero_bias,inner_selectivity
valley_odd,0.8,0.0,0.2,1.5707963268,0.016827349461848516,0.07182734946184852,309.68368013980177,195.39678120082874,272.8228784862799,1.5848965281649599
valley_odd,0.8,0.0,0.45,0.0,0.016827349461848516,0.07182734946184852,388.7092760854564,235.4210194528247,343.3931001012384,1.6511239182844022
valley_odd,0.8,0.0,0.45,1.5707963268,0.016827349461848516,0.07182734946184852,343.55613906271924,212.1457023712723,303.11071393715224,1.6194348281515878
valley_odd,0.8,0.7853981634,0.0,0.0,0.016827349461848516,0.07182734946184852,399.08131578062824,237.55462005933998,352.95905335530887,1.6799560272957001
valley_odd,0.8,0.7853981634,0.0,1.5707963268,0.016827349461848516,0.07182734946184852,353.92817875789103,214.2793029777876,312.67666719122263,1.6517142525639985
valley_odd,0.8,0.7853981634,0.2,0.0,0.016827349461848516,0.07182734946184852,426.17928291896226,250.95375699569487,377.18932171600676,1.6982383050207668
valley_odd,0.8,0.7853981634,0.2,1.5707963268,0.016827349461848516,0.07182734946184852,381.0261458962251,227.67843991414247,336.9069355519205,1.6735275682664992
valley_odd,0.8,0.7853981634,0.45,0.0,0.016827349461848516,0.07182734946184852,460.05174184187973,267.7026781661384,407.477157166879,1.718517517244889
valley_odd,0.8,0.7853981634,0.45,1.5707963268,0.016827349461848516,0.07182734946184852,414.8986048191426,244.42736108458604,367.1947710027929,1.697431101731543
valley_odd,1.6,0.0,0.0,0.0,0.016827349461848516,0.07182734946184852,244.2073008416316,204.11567174721807,210.2771160341737,1.1964162219942818
valley_odd,1.6,0.0,0.0,1.5707963268,0.016827349461848516,0.07182734946184852,214.8989291928946,186.1782706908062,184.40574711439385,1.1542642887138315
valley_odd,1.6,0.0,0.2,0.0,0.016827349461848516,0.07182734946184852,261.3031606669597,213.72163269731874,225.45157350702874,1.222633185836774
valley_odd,1.6,0.0,0.2,1.5707963268,0.016827349461848516,0.07182734946184852,231.9947890182227,195.78423164090685,199.5802045872489,1.1849513470713546
valley_odd,1.6,0.0,0.45,0.0,0.016827349461848516,0.07182734946184852,282.6729854486197,225.7290838849446,244.4196453480975,1.2522665692148902
valley_odd,1.6,0.0,0.45,1.5707963268,0.016827349461848516,0.07182734946184852,253.36461379988276,207.79168282853271,218.54827642831765,1.219320284387688
valley_odd,1.6,0.7853981634,0.0,0.0,0.016827349461848516,0.07182734946184852,286.6218626766852,223.30778117484414,248.37640475699158,1.2835283265488533
valley_odd,1.6,0.7853981634,0.0,1.5707963268,0.016827349461848516,0.07182734946184852,257.3134910279482,205.37038011843225,222.50503583721172,1.2529240627570615
valley_odd,1.6,0.7853981634,0.2,0.0,0.016827349461848516,0.07182734946184852,303.71772250201326,232.9137421249448,263.5508622298466,1.30399228371457
valley_odd,1.6,0.7853981634,0.2,1.5707963268,0.016827349461848516,0.07182734946184852,274.40935085327635,214.97634106853292,237.67949331006673,1.276463026067583
valley_odd,1.6,0.7853981634,0.45,0.0,0.016827349461848516,0.07182734946184852,325.08754728367336,244.92119331257067,282.51893407091535,1.3273148921367277
valley_odd,1.6,0.7853981634,0.45,1.5707963268,0.016827349461848516,0.07182734946184852,295.7791756349364,226.98379225615878,256.64756515113555,1.3030850030963432
valley_odd,2.8,0.0,0.0,0.0,0.016827349461848516,0.07182734946184852,180.3047197925506,207.23323917519053,149.76054965606937,0.8700569489247083
valley_odd,2.8,0.0,0.0,1.5707963268,0.016827349461848516,0.07182734946184852,163.45753745780922,193.33323995623053,135.2384285059528,0.8454704296830438
valley_odd,2.8,0.0,0.2,0.0,0.016827349461848516,0.07182734946184852,189.50638414067652,213.9076241180948,157.78162422656476,0.885926272716924
