object_id,fixed_psnr_lowres,robust_method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
ImageNet-1k:imagenet_proxy_005,19.872126716637318,23.029568136303098,3.15744141966578,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.65704810311735,24.141229964839344,4.484181861721993,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,25.92318706892768,24.03932411042634,-1.8838629585013429,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.51438484054861,21.222050593934107,2.7076657533854984,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,20.59954986294597,22.719065209892246,2.119515346946276,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,16.76661491870148,21.718332335529364,4.951717416827883,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,21.898885206297475,24.311199971448975,2.4123147651515,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,16.15346213451125,17.66642585155453,1.5129637170432773,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,18.64806666618471,20.115474916388216,1.4674082502035048,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,14.99213140498757,16.429091167519182,1.4369597625316128,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,19.95005748643167,19.947774912276373,-0.0022825741552985335,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,17.02112070435518,19.95602300065496,2.9349022962997786,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,18.877109632413845,22.73291496683001,3.8558053344161642,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.001095809722333,23.282015884972914,4.280920075250581,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,23.875982204289585,23.385197256227578,-0.49078494806200723,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,17.78390643054887,20.329261193730662,2.545354763181791,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,19.67577512735865,21.682844369125576,2.0070692417669243,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,15.96062765825073,19.776746311082732,3.816118652832003,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,20.56497074291316,22.67716339619159,2.1121926532784308,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,18.37913524723942,21.32639927067452,2.9472640234350997,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,4.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,19.4185212442048,21.427854787339538,2.009333543134737,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,4.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,17.144871038094426,19.761626672655122,2.616755634560697,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,4.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,19.87239693750947,19.916742510267447,0.044345572757976015,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,4.0,robust_mask_mixed_train
