perturbation_family,level,dataset_name,dataset_version,method,seed,sample_count,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-0.9548517754758874,1.1514983189674426,0.16666666666666666,23.969448557868564,24.92430033334445,26.983093337815266
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-1.268293515156315,1.0830494194685174,0.08333333333333333,23.8639725169606,25.132266032116917,26.91994721120966
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,0,72,1.7547474261306877,0.6275714587057426,1.0,26.931414702473123,25.176667276342435,26.931414702473123
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,1,72,2.0587930044708136,0.6933361232927682,1.0,26.983093337815266,24.92430033334445,26.983093337815266
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,2,72,1.7876811790927425,0.6977632297982511,1.0,26.91994721120966,25.132266032116917,26.91994721120966
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,0,72,-1.5285750540952152,1.2237435415781492,0.125,23.64809222224722,25.176667276342435,26.931414702473123
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,1,72,-1.4663841920342824,1.293648992201383,0.1388888888888889,23.457916141310168,24.92430033334445,26.983093337815266
propagation_distance_error,-0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,2,72,-1.2400901078067592,1.1506646993651857,0.125,23.89217592431016,25.132266032116917,26.91994721120966
propagation_distance_error,-0.05,UCID,1338 public citation subset,phase_only_stack,0,72,1.3776775865737507,1.2603824533378456,0.7916666666666666,22.37768151745354,21.00000393087979,23.01310985373364
propagation_distance_error,-0.05,UCID,1338 public citation subset,phase_only_stack,1,72,1.973497042820302,1.5616044428777913,0.8888888888888888,22.67291304518054,20.699416002360238,23.168496256563735
propagation_distance_error,-0.05,UCID,1338 public citation subset,phase_only_stack,2,72,1.5732071069708085,1.4096865443458653,0.75,22.549778599162988,20.97657149219218,23.163975635990575
propagation_distance_error,-0.05,UCID,1338 public citation subset,reference_psf_deconvolution,0,72,2.013105922853847,0.6982866693302825,1.0,23.01310985373364,21.00000393087979,23.01310985373364
propagation_distance_error,-0.05,UCID,1338 public citation subset,reference_psf_deconvolution,1,72,2.469080254203497,0.7491033016358566,1.0,23.168496256563735,20.699416002360238,23.168496256563735
propagation_distance_error,-0.05,UCID,1338 public citation subset,reference_psf_deconvolution,2,72,2.187404143798395,0.7115674514552851,1.0,23.163975635990575,20.97657149219218,23.163975635990575
propagation_distance_error,-0.05,UCID,1338 public citation subset,spectral_frontend,0,72,1.1028238344053132,1.3902099909650167,0.7777777777777778,22.102827765285102,21.00000393087979,23.01310985373364
