dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.0,3,4,288,-12.288683730827193,1.4385842369584219,-13.727267967785615,-10.850099493868772,12.07047703011771,1.4603477824760907,10.61012924764162,13.5308248125938,12.768498661697137,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.005,3,4,288,-12.821392144378649,1.5126359855179092,-14.334028129896558,-11.30875615886074,12.603185443669169,1.560561048335332,11.042624395333837,14.1637464920045,12.23355813150232,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.01,3,4,288,-12.390410300715887,1.434962076838772,-13.82537237755466,-10.955448223877115,12.172203600006405,1.48708700732494,10.685116592681466,13.659290607331345,12.660610689094318,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,clean,0.0,0.0,0.02,3,4,288,-12.229686197410516,1.7823907804231063,-14.012076977833622,-10.447295416987409,12.011479496701034,1.8067741773481856,10.204705319352849,13.818253674049219,12.818891464570724,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.0,3,4,288,-13.41302414101042,0.6001355469506544,-14.013159687961075,-12.812888594059764,13.19481744030094,0.5315154349299742,12.663302005370966,13.726332875230913,11.644158251513907,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.005,3,4,288,-13.81013729981985,0.49616486302958157,-14.306302162849432,-13.313972436790268,13.59193059911037,0.5564730087641773,13.035457590346192,14.148403607874547,11.244812976061121,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.01,3,4,288,-13.555016158942664,0.757476522005588,-14.312492680948251,-12.797539636937076,13.336809458233184,0.817349503262142,12.519459954971042,14.154158961495325,11.49600483086754,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,mild,0.25,0.5,0.02,3,4,288,-14.236042516019594,0.9489124704167363,-15.184954986436331,-13.287130045602858,14.017835815310113,0.9015588319441091,13.116276983366003,14.919394647254222,10.812535145961641,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.0,3,4,288,-14.853354284212438,0.5286033859752193,-15.381957670187656,-14.32475089823722,14.635147583502958,0.44550492081122256,14.189642662691735,15.08065250431418,10.203828108311889,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.005,3,4,288,-15.575853045555325,0.18309637065017786,-15.758949416205503,-15.392756674905147,15.357646344845842,0.10154477071501376,15.256101574130827,15.459191115560856,9.479097230325644,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.01,3,4,288,-15.295404952122473,0.7593540722029061,-16.054759024325378,-14.536050879919566,15.07719825141299,0.6909319151387976,14.386266336274192,15.768130166551787,9.755616037687735,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,moderate,0.5,1.0,0.02,3,4,288,-15.05055201844729,0.7498188359458225,-15.800370854393112,-14.300733182501467,14.83234531773781,0.6576793546923734,14.174665963045436,15.490024672430183,9.998025643533948,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.0,3,4,288,-16.310343918857544,0.4436279161211314,-16.753971834978675,-15.866716002736412,16.092137218148064,0.35896743155113003,15.733169786596934,16.451104649699193,8.746838473666786,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.005,3,4,288,-15.990893815139556,0.9596213724583947,-16.95051518759795,-15.03127244268116,15.772687114430072,0.8794109775454025,14.89327613688467,16.652098091975475,9.064056460741416,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.01,3,4,288,-15.885235376630527,0.7010117321801191,-16.586247108810646,-15.184223644450409,15.667028675921046,0.6254174503735673,15.041611225547479,16.292446126294614,9.165785613179677,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.02,3,4,288,-16.08267493957506,0.6311677841341559,-16.713842723709217,-15.451507155440904,15.864468238865578,0.5780032255833693,15.286465013282209,16.442471464448946,8.965902722406176,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.0,3,4,288,-14.985977857223636,0.6514146140303535,-15.637392471253989,-14.334563243193283,14.767771156514156,0.7074531203296419,14.060318036184514,15.475224276843798,10.071204535300692,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.005,3,4,288,-15.495664094556432,0.7689412310533557,-16.264605325609786,-14.726722863503076,15.27745739384695,0.7796002290524077,14.497857164794542,16.057057622899357,9.559286181324538,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.01,3,4,288,-14.930962926141405,0.2050731895649266,-15.13603611570633,-14.725889736576478,14.712756225431923,0.2967682253636628,14.41598800006826,15.009524450795585,10.120058063668802,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.02,3,4,288,-15.058222214007538,0.9806943350026167,-16.038916549010153,-14.07752787900492,14.840015513298058,0.9955356201552255,13.844479893142832,15.835551133453283,9.990355447973698,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.0,3,4,288,-15.229541698792756,0.6435910542958662,-15.873132753088623,-14.58595064449689,15.011334998083276,0.7358321254928287,14.275502872590447,15.747167123576105,9.827640693731572,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.005,3,4,288,-15.29941140960993,0.5440534104511613,-15.84346482006109,-14.755357999158768,15.081204708900449,0.6310560099642611,14.450148698936188,15.71226071886471,9.755538866271042,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.01,3,4,288,-15.356344595679586,0.3049979587592436,-15.661342554438829,-15.051346636920343,15.138137894970106,0.30299018470047595,14.835147710269629,15.441128079670582,9.69467639413062,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.02,3,4,288,-15.228454472793297,0.39685035034704164,-15.625304823140338,-14.831604122446256,15.010247772083815,0.4881702647926882,14.522077507291128,15.498418036876503,9.82012318918794,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.0,3,4,288,-15.930374210171744,0.35056882750711654,-16.28094303767886,-15.579805382664627,15.712167509462263,0.28452180402427957,15.427645705437984,15.996689313486543,9.126808182352583,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.005,3,4,288,-15.781171254315481,0.5507078474965221,-16.331879101812003,-15.23046340681896,15.562964553606001,0.5031582574196745,15.059806296186327,16.066122811025675,9.273779021565488,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,moderate,0.5,1.0,0.01,3,4,288,-15.910367912613218,0.48753808780493846,-16.397906000418157,-15.422829824808279,15.692161211903738,0.41699744724182625,15.275163764661912,16.109158659145564,9.140653077196989,25.0510209898102,26.998731881358268,0.0,fail
