path_rank,short_range_rank,c7_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
9,3,34,exclusive_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,anti,cyc,cyc,anti,anti,anti,True,True,10.214129973291408,0.020727017409608806,15.648358434007362,2.5833665084485795,14.974543226055113,17.691392068852856,0.6738152079522486
6,5,13,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,cyc,cyc,cyc,anti,False,False,10.214336223912866,0.017514652641832384,17.18647988120327,7.214346266184387,19.187782712614933,17.691749305408315,2.001302831411664
10,3,34,exclusive_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,anti,cyc,cyc,anti,anti,anti,True,True,10.214624276609968,0.0353295212262239,14.975943183341833,2.614024839275974,15.650039998324155,17.692248227314952,0.6740968149823221
8,5,7,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,anti,cyc,anti,anti,True,True,10.215185199483146,1.0658141036401503e-14,17.29758151811393,7.3582495534820715,18.505425099620727,17.69321977423043,1.207843581506797
7,5,7,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,anti,cyc,anti,anti,True,True,10.215185199483148,1.0658141036401503e-14,18.505425099620723,7.3582495534820715,17.29758151811394,17.69321977423043,1.2078435815067827
7,5,15,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,cyc,cyc,cyc,anti,False,True,10.215255929141005,7.105427357601002e-15,18.698075171440284,7.358248407720562,17.188662646690148,17.69334228159144,1.509412524750136
8,5,15,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,cyc,cyc,cyc,anti,False,True,10.215255929141007,7.105427357601002e-15,17.18866264669014,7.358248407720562,18.698075171440287,17.69334228159144,1.5094125247501466
10,2,42,exclusive_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,cyc,anti,cyc,anti,cyc,anti,True,True,10.215669543139217,0.029164026524821196,15.145873169379694,7.228887066905104,15.045129240728837,17.694058682051065,0.10074392865085713
11,3,34,duplicated_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,anti,cyc,cyc,anti,anti,anti,True,True,10.217294851801173,1.0658141036401503e-14,14.948553480866854,2.5878403559971592,15.657449597818413,17.696873799231554,0.7088961169515589
12,3,34,duplicated_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,anti,cyc,cyc,anti,anti,anti,True,True,10.217294851801173,1.0658141036401503e-14,15.657449597818408,2.5878403559971592,14.948553480866865,17.696873799231554,0.7088961169515429
12,2,42,duplicated_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,cyc,anti,cyc,anti,cyc,anti,True,True,10.217676602414212,7.105427357601002e-15,15.070890587837827,7.20020946254007,15.127628232760582,17.69753501068916,0.05673764492275524
