path_rank,config_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
3,988,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,cyc,const,const,const,cyc,const,True,True,13.383358383623646,8.842860520666669,16.907195630732854,11.60300391214931,17.09563742610327,23.180656696339042,0.18844179537041583
3,562,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,const,cyc,anti,False,True,13.385623678316025,21.48845352442992,17.188661251225888,10.24867849224259,17.946131330214392,23.184580301840356,0.7574700789885043
3,170,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,cyc,anti,const,False,True,13.386861696357823,23.466582657469637,17.188662910445217,8.978425888474872,18.091637607747746,23.186724611989437,0.902974697302529
3,986,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,cyc,const,const,const,cyc,const,False,True,13.38717692060963,8.842860520666669,16.742845904712457,11.600003546774696,17.188662230261656,23.187270596409345,0.4458163255491989
3,631,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,anti,cyc,cyc,True,False,13.387240462403618,26.933771171033207,18.075387706827588,10.302778927473405,17.429177285863126,23.18738065402494,0.6462104209644615
3,769,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,const,cyc,const,False,False,13.387289206511007,19.44376432759437,17.946131628757083,10.84886699511888,18.091637607748734,23.1874650812955,0.1455059789916504
3,267,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,anti,cyc,cyc,const,True,False,13.388196189911188,23.466582657469665,17.17584125729602,11.304678821247444,18.07538733465729,23.18903602262624,0.8995460773612685
3,523,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,anti,cyc,cyc,True,False,13.388368680149565,26.93377117103317,18.075387684460587,9.70728857975912,17.429177272979413,23.189334784482917,0.6462104114811744
3,301,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,anti,anti,cyc,const,False,False,13.390420034607486,23.466582657469637,18.091637607747508,10.923662348749646,17.18866265545164,23.19288783462837,0.9029749522958674
3,630,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,anti,cyc,cyc,False,True,13.392382979202454,26.9337711710332,18.091637607748567,10.525741664024245,17.113105195529453,23.196287754399297,0.9785324122191135
3,590,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,cyc,cyc,const,False,True,13.395242133508898,21.48845352442992,17.18866281320136,11.278334866825778,17.946131778963426,23.201239954924734,0.7574689657620652
3,535,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,anti,anti,cyc,True,False,13.396354528279373,26.9337711710332,18.07538766209388,6.9888266791445375,17.42917726009403,23.203166679185273,0.646210401999852
3,772,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,const,cyc,const,True,True,13.398667349443942,19.36257774371385,17.930431808945517,11.12982553029926,18.075387319497533,23.20717260295113,0.14495551055201616
3,159,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,cyc,cyc,const,True,False,13.405140750749132,23.466582657469637,17.17584123965207,11.686487709855877,18.075387319471297,23.2183848629095,0.8995460798192276
3,629,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,anti,cyc,cyc,False,False,13.407611242261984,26.93377117103317,18.091637607748485,10.319893401728503,17.44296691984891,23.222663879729428,0.6486706878995747
3,501,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,cyc,anti,anti,False,False,13.40810568004081,26.93377117103317,17.188661464676894,7.120717849167178,17.94613144031705,23.223520271083537,0.7574699756401557
