model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_B,s_wave,0.0,0.05,-12.5,1.0994244833585198,0.0994244833585199,0.0
baseline,K_B,s_wave,0.0,0.05,-11.666666666666655,1.1130141013336539,0.11301410133365461,0.0
baseline,K_B,s_wave,0.0,0.05,-10.833333333333329,1.140001321476648,0.14000132147664754,0.0
baseline,K_B,s_wave,0.0,0.05,-10.0,1.16926817077207,0.16926817077206957,0.0
baseline,K_B,s_wave,0.0,0.05,-9.166666666666655,1.2002854562538363,0.20028545625383606,0.0
baseline,K_B,s_wave,0.0,0.05,-8.333333333333329,1.231893508121969,0.23189350812196863,0.0
baseline,K_B,s_wave,0.0,0.05,-7.5,1.278101509315663,0.2781015093156632,0.0
baseline,K_B,s_wave,0.0,0.05,-6.666666666666657,1.3590581805260566,0.3590581805260569,0.0
baseline,K_B,s_wave,0.0,0.05,-5.833333333333329,1.4673949441344993,0.46739494413449917,0.0
baseline,K_B,s_wave,0.0,0.05,-5.0,1.6328857721788197,0.6328857721788202,0.0
baseline,K_B,s_wave,0.0,0.05,-4.166666666666657,1.8711992600346457,0.8711992600346453,0.0
baseline,K_B,s_wave,0.0,0.05,-3.3333333333333286,2.28102152603977,1.2810215260397708,0.0
baseline,K_B,s_wave,0.0,0.05,-2.5,3.016212287844147,2.0162122878441475,0.0
baseline,K_B,s_wave,0.0,0.05,-1.6666666666666572,4.405947907464503,3.4059479074645034,0.0
baseline,K_B,s_wave,0.0,0.05,-0.8333333333333286,6.7152470826427635,5.715247082642764,0.0
baseline,K_B,s_wave,0.0,0.05,0.0,8.480849236973828,7.480849236973828,0.0
baseline,K_B,s_wave,0.0,0.05,0.8333333333333428,6.6497514903845625,5.6497514903845625,0.0
baseline,K_B,s_wave,0.0,0.05,1.6666666666666714,4.181159526826362,3.1811595268263626,0.0
baseline,K_B,s_wave,0.0,0.05,2.5,2.8153008946137184,1.8153008946137192,0.0
baseline,K_B,s_wave,0.0,0.05,3.333333333333343,1.9954857823909453,0.9954857823909453,0.0
baseline,K_B,s_wave,0.0,0.05,4.166666666666671,1.6078424273771563,0.6078424273771558,0.0
baseline,K_B,s_wave,0.0,0.05,5.0,1.3766195639097634,0.37661956390976414,0.0
baseline,K_B,s_wave,0.0,0.05,5.833333333333343,1.2049717873508916,0.20497178735089155,0.0
baseline,K_B,s_wave,0.0,0.05,6.666666666666671,1.1276677486020064,0.1276677486020064,0.0
baseline,K_B,s_wave,0.0,0.05,7.5,1.0782032766357994,0.07820327663579943,0.0
baseline,K_B,s_wave,0.0,0.05,8.333333333333343,1.050845548313301,0.05084554831330121,0.0
baseline,K_B,s_wave,0.0,0.05,9.166666666666671,1.0351228147144043,0.03512281471440417,0.0
baseline,K_B,s_wave,0.0,0.05,10.0,1.02546326681563,0.025463266815629777,0.0
baseline,K_B,s_wave,0.0,0.05,10.833333333333345,1.0193738123799312,0.019373812379931424,0.0
baseline,K_B,s_wave,0.0,0.05,11.666666666666671,1.016574059513138,0.01657405951313833,0.0
baseline,K_B,s_wave,0.0,0.05,12.5,1.0141252112845198,0.01412521128451953,0.0
baseline,K_B,s_wave,0.0,0.05,13.333333333333345,1.0121065707654915,0.012106570765491343,0.0
baseline,K_B,s_wave,0.0,0.05,14.166666666666671,1.0104415201661185,0.01044152016611842,0.0
baseline,K_B,s_wave,0.0,0.05,15.0,1.0089297167777476,0.008929716777747515,0.0
baseline,K_B,s_wave,0.0,0.05,15.833333333333345,1.0077173283801402,0.007717328380139947,0.0
baseline,K_B,s_wave,0.0,0.05,16.66666666666667,1.0067429493563378,0.006742949356337936,0.0
baseline,K_B,s_wave,0.0,0.05,17.5,1.0059553857126093,0.005955385712609317,0.0
baseline,K_B,s_wave,0.0,0.05,18.333333333333343,1.0052353064538335,0.005235306453833593,0.0
baseline,K_B,s_wave,0.0,0.05,19.16666666666667,1.004607882829076,0.004607882829076596,0.0
baseline,K_B,s_wave,0.0,0.05,20.0,1.0040855027815887,0.004085502781588872,0.0
baseline,K_T,s_wave,0.0,0.05,-80.0,1.0000750440238495,7.504402384948654e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-79.16666666666667,1.0000837853998996,8.378539989945113e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-78.33333333333333,1.0000940301673782,9.403016737822735e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-77.5,1.000106134667748,0.00010613466774814422,0.0
baseline,K_T,s_wave,0.0,0.05,-76.66666666666667,1.0001205660047658,0.0001205660047656714,0.0
baseline,K_T,s_wave,0.0,0.05,-75.83333333333333,1.0001379454083796,0.00013794540837970396,0.0
baseline,K_T,s_wave,0.0,0.05,-75.0,1.0001591121664266,0.00015911216642647418,0.0
baseline,K_T,s_wave,0.0,0.05,-74.16666666666667,1.0001852193935499,0.00018521939354969392,0.0
baseline,K_T,s_wave,0.0,0.05,-73.33333333333333,1.0002178794744405,0.00021787947444061514,0.0
baseline,K_T,s_wave,0.0,0.05,-72.5,1.0002593867572929,0.0002593867572930034,0.0
baseline,K_T,s_wave,0.0,0.05,-71.66666666666667,1.0003130570098577,0.0003130570098575306,0.0
