ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
const,cyc,const,anti,True,True,9.018297904307284,13.53235627328566,14.902983387582042,4.227617819422853,15.25947945758929,15.620150168052147,0.3564960700072479
cyc,anti,anti,anti,True,False,9.01848003074709,0.01519571903297745,14.97530285554185,6.672928683455354,14.989294744550259,15.62046562029929,0.013991889008408975
const,cyc,const,cyc,True,True,9.01867429046459,13.658028683387531,15.613266865135078,7.01605061099363,15.029310809398051,15.620802087999865,0.5839560557370262
anti,const,anti,const,False,True,9.02042950727483,13.485324291819772,15.064083490961208,5.160565466929841,15.102276577336534,15.623842212693502,0.038193086375326146
cyc,const,anti,const,False,True,9.029490553396396,13.562438252426897,15.066071850243205,6.955246844654497,15.09173262496007,15.639536404945778,0.02566077471686512
const,cyc,const,anti,False,True,9.03081692135532,13.66325864958679,14.897196683157258,4.176428062851952,15.380097789635636,15.641833741640164,0.48290110647837814
anti,const,cyc,anti,True,True,9.03621455532466,5.50924031610843,15.029570732323808,3.565944945994951,14.987569156588728,15.651182717915722,0.04200157573508001
const,anti,anti,anti,False,True,9.039195193060493,5.5747918788472735,15.094138995007219,5.9338389101194995,14.979001478146909,15.656345333913139,0.11513751686030993
cyc,const,anti,const,True,False,9.04065081503754,13.656776133589746,15.044338177796778,7.2531696696293695,15.045034291019586,15.658866545134002,0.0006961132228084921
const,anti,anti,anti,False,False,9.042544281636449,5.578780300375277,15.095565187581508,5.696370524249692,14.97097575660742,15.662146125485744,0.1245894309740887
cyc,anti,anti,anti,True,True,9.042843181108053,0.018619666677913926,14.974541163414958,6.915794895734461,14.998108866684568,15.662663834556918,0.023567703269609552
anti,anti,anti,anti,True,False,9.045599287213713,0.017275985602584143,14.974894631004357,5.098423974149574,14.995219690704909,15.667437550362974,0.020325059700551762
anti,anti,anti,anti,True,True,9.048122281219172,0.020134106947772068,14.974125213858038,5.335391346580513,15.004006054294974,15.671807504167619,0.029880840436936396
const,cyc,const,cyc,False,False,9.049603533654915,13.792458456588975,15.527204660264855,7.160283330440575,15.104889777936167,15.674373108645161,0.4223148823286884
const,cyc,const,cyc,True,False,9.054763582199836,13.663313569455177,15.602246265482147,7.211906991905179,15.030571925197476,15.683310574894488,0.5716743402846713
anti,anti,anti,const,False,False,9.061432023601947,5.292034071087249,14.957943632564874,5.935994001745976,15.104189922019694,15.694860654210236,0.14624628945482065
anti,const,cyc,anti,False,False,9.065334084794362,5.488775195694366,15.048844022894928,3.737388148654329,15.01810835009736,15.701619222449745,0.03073567279756695
cyc,const,anti,cyc,True,False,9.070106021903394,5.412721387829155,16.34464310297006,8.622169736908816,15.044174890572405,15.709884459973111,1.3004682123976554
cyc,anti,anti,const,False,False,9.071893412452924,5.4038835970585755,14.958605007512201,7.691263710096063,15.093582894174027,15.712980311217864,0.13497788666182586
anti,anti,anti,const,True,False,9.073307322604789,5.3030804831477365,14.965498089848332,6.549949903410629,15.054781301599741,15.715429275438229,0.0892832117514093
const,anti,anti,const,False,False,9.073437247522117,7.655935700471645,15.07697640764488,7.166765906851961,14.962814533896497,15.715654311996216,0.11416187374838316
anti,cyc,cyc,cyc,True,True,9.078956617843435,0.02501833475731985,16.35643818920795,4.571244662863614,14.920656399552517,15.725214141818523,1.435781789655433
anti,anti,anti,const,False,True,9.084649635765011,5.3444592800295805,14.957963207382647,6.09050633296658,15.104057512184857,15.735074738107095,0.14609430480220986
