path_mode,k_b_label,m_label,k_t_label,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
duplicated_150,K_-2b1-b2,M_b1+b2,K_b1+2b2,10.212196181041357,7.105427357601002e-15,15.879394816573765,6.491488579094616,15.513734042694221,17.688042642424488
duplicated_150,K_-b1+b2,M_b2,K_-2b1-b2,10.217123226529225,7.105427357601002e-15,15.49756642743746,8.21556512224462,15.879394816573773,17.69657653554068
duplicated_150,K_-2b1-b2,M_b2,K_-b1+b2,10.217123226529225,7.105427357601002e-15,15.879394816573765,8.21556512224462,15.49756642743747,17.69657653554068
exclusive_150,K_-2b1-b2,M_b1+b2,K_b1+2b2,10.217931592366421,0.018476238953141433,15.873012500792468,6.619559742433047,15.505750138480458,17.697976666241804
exclusive_150,K_2b1+b2,M_b1+b2,K_-2b1-b2,10.219291195211785,0.0137221227123554,14.974444027854577,6.492032789139959,15.869678781796958,17.70033156744809
exclusive_150,K_-b1+b2,M_b2,K_2b1+b2,10.234244564855778,0.01315161642504492,15.493723981124734,8.248466254528571,14.991814191435115,17.726231563415844
duplicated_150,K_2b1+b2,M_b1+b2,K_-2b1-b2,10.234609125998906,7.105427357601002e-15,15.028551054220966,6.491488579094616,15.879394816573773,17.726863001838208
duplicated_150,K_-2b1-b2,M_b1+b2,K_2b1+b2,10.234609125998906,7.105427357601002e-15,15.879394816573765,6.491488579094616,15.028551054220973,17.72686300183821
exclusive_150,K_-2b1-b2,M_b1+b2,K_2b1+b2,10.24059104731894,0.01315161642504492,15.873012500792468,6.619559742433047,15.023236524628903,17.737223993491384
exclusive_150,K_b1+2b2,M_b2,K_-b1-2b2,10.241910944592828,0.019176343654002892,15.502970690681785,8.182321396123937,16.095037552619587,17.73951012263053
exclusive_150,K_2b1+b2,M_b2,K_-b1+b2,10.241993228557037,0.016537941410557977,14.974444027854577,8.103447068271395,15.51969879534148,17.73965264263719
duplicated_150,K_2b1+b2,M_b2,K_-b1+b2,10.245889364093967,7.105427357601002e-15,15.028551054220966,8.21556512224462,15.49756642743747,17.746400947340327
duplicated_150,K_-b1+b2,M_b2,K_2b1+b2,10.245889364093967,7.105427357601002e-15,15.49756642743746,8.21556512224462,15.028551054220973,17.746400947340327
exclusive_150,K_b1+2b2,M_b1+b2,K_2b1+b2,10.252817074503142,0.01315161642504492,15.502970690681785,6.489360272716046,15.023236524628903,17.75840009374914
exclusive_150,K_2b1+b2,M_b1+b2,K_b1+2b2,10.254701932370521,0.018476238953141433,14.974444027854577,6.492032789139959,15.505750138480458,17.761664763340487
duplicated_150,K_2b1+b2,M_b1+b2,K_b1+2b2,10.261507173500407,7.105427357601002e-15,15.028551054220966,6.491488579094616,15.513734042694221,17.773451786735205
duplicated_150,K_b1+2b2,M_b1+b2,K_2b1+b2,10.261507173500407,7.105427357601002e-15,15.513734042694217,6.491488579094616,15.028551054220973,17.773451786735205
duplicated_150,K_b1+2b2,M_b2,K_-b1-2b2,10.262034371681898,7.105427357601002e-15,15.513734042694217,8.21556512224462,16.100469408921484,17.774364920771205
duplicated_150,K_-b1-2b2,M_b2,K_b1+2b2,10.262034371681898,7.105427357601002e-15,16.100469408921473,8.21556512224462,15.513734042694221,17.77436492077121
