point_index,d_a_meV,d_b_meV,d_c_meV,v3_ab_common_meV,v3_ab_orbital_selective_meV,v3_c_meV,solver_iterations,solver_residual_norm_meV,compressed_v3_ab_common_meV,compressed_v3_ab_orbital_selective_meV,compressed_v3_c_meV,compressed_d_a_meV,compressed_d_b_meV,compressed_d_c_meV
369,15.247552550279574,-17.180907111508752,2.574966196699817,-0.9666772806145892,16.214229830894162,2.574966196699817,3,7.944109290391274e-15,-1.4798253707680535,22.956422139355332,3.032298049708419,21.476596768587278,-24.436247510123387,3.032298049708419
370,15.326423283088756,-17.595209021906996,2.88645109585586,-1.13439286940912,16.460816152497877,2.88645109585586,3,1.5888218580782548e-14,-1.6233874383337843,23.72589052377865,3.3207429762701293,22.102503085444866,-25.34927796211243,3.3207429762701293
371,15.412733675078805,-18.01098301984522,3.191222444570983,-1.2991246723832086,16.711858347462012,3.191222444570983,3,7.32410687763558e-15,-1.7664237027780743,24.356333066519834,3.6090476468735915,22.58990936374176,-26.122756769297908,3.6090476468735915
372,15.5068556114207,-18.428781557152806,3.489543387521785,-1.4609629728660538,16.967818584286753,3.489543387521785,3,1.004859173557616e-14,-1.9090208647147062,24.831888908368132,3.897332106150809,22.922868043653427,-26.740909773082837,3.897332106150809
373,15.60906211347111,-18.849280535063887,3.781901027199624,-1.6201092107963886,17.229171324267497,3.781901027199624,3,1.004859173557616e-14,-2.051235691244658,25.13952862916149,4.185651160944612,23.088292937916833,-27.190764320406146,4.185651160944612
374,11.96054923607587,-35.46486687052847,24.019571744406445,-11.7521588172263,23.71270805330217,24.019571744406445,6,1.5987211554602254e-14,-2.1930921384611013,25.269475789990658,4.473988847561441,23.076383651529557,-27.462567928451758,4.473988847561441
375,15.83828669730738,-19.701840122462112,4.351971841958305,-1.9317767125773664,17.770063409884745,4.351971841958305,5,1.004859173557616e-14,-2.334579112688877,25.215522594927425,4.762254203560684,22.880943482238546,-27.550101707616303,4.762254203560684
376,15.965300751712569,-20.13611205386717,4.632073877880857,-2.085405651077301,18.050706402789867,4.632073877880857,5,1.7763568394002505e-15,-2.47564889852051,24.97522455391898,5.05027840507447,22.49957565539847,-27.45087345243949,5.05027840507447
377,16.10038264881104,-20.57760948359482,4.911100701559223,-2.238613417391891,18.33899606620293,4.911100701559223,3,1.464821375527116e-14,-2.6162162721777023,24.54996462741142,5.337813311277621,21.933748355233718,-27.166180899589122,5.337813311277621
378,16.24322812415638,-21.028190025409653,5.191301344633165,-2.392480950626636,18.635709074783016,5.191301344633165,3,2.161031364628563e-14,-2.7561583089396255,23.94488351264931,5.624531437527215,21.188725203709684,-26.701041821588934,5.624531437527215
379,14.152614488995264,-34.04990002400665,20.27603151169168,-9.94864276750569,24.10125725650096,20.27603151169168,5,2.5680492922932105e-14,-2.8953148834325866,23.168679114438103,5.91002735806816,20.273364231005516,-26.06399399787069,5.91002735806816
380,16.550332706561747,-21.96670467671781,5.767551272899324,-2.708185985078032,19.25851869163978,5.767551272899324,5,2.7114910356960115e-14,-3.033489851574811,22.2332844380788,6.19382051828429,19.19979458650399,-25.26677428965361,6.19382051828429
381,16.713285674220437,-22.46174923583588,6.072187635690631,-2.8742317808077225,19.58751745502816,6.072187635690631,5,4.263256414560601e-14,-3.170452893030286,21.153438773106434,6.475359415518152,17.982985880076146,-24.32389166613672,6.475359415518152
382,16.881336333182297,-22.980967190177584,6.3960942738317215,-3.0498154284976438,19.931151761679946,6.3960942738317215,4,1.2610882542175865e-13,-3.305941983271747,19.94617177085427,6.754027086766428,16.640229787582523,-23.252113754126018,6.754027086766428
383,15.777045127638011,-32.6338720110733,17.126305478572437,-8.428413441717645,24.205458569355656,17.126305478572437,5,1.1202320866791781e-13,-3.439666454918652,18.63022359209498,7.029147821382587,15.190557137176327,-22.06989004701363,7.029147821382587
384,16.168572786878098,-32.18990118686342,16.264177083749516,-8.010664199992663,24.17923698687076,16.264177083749516,4,7.944109290391274e-15,-3.571310599042443,17.225426534663626,7.2999949976033225,13.654115935621183,-20.79673713370607,7.2999949976033225
385,17.401621010693614,-24.79333068384185,7.60835992380287,-3.695854836574119,21.09747584726773,7.60835992380287,5,1.6758116906701664e-14,-3.7005377487640385,15.752074363602654,7.565799923590585,12.051536614838616,-19.452612112366694,7.565799923590585
386,17.571041858672366,-25.569950274366597,8.189865466087607,-3.999454207847114,21.57049606651948,8.189865466087607,4,5.0368409456630393e-14,-3.8269947798547768,14.230304975944629,7.825761547082395,10.403310196089851,-18.057299755799406,7.825761547082395
387,17.723390275586524,-26.590573786464542,9.033023240843058,-4.433591755439009,22.15698203102553,9.033023240843058,7,1.4210854715202004e-14,-3.950316956337452,12.679520150278956,8.079056883004352,8.729203193941505,-16.629837106616407,8.079056883004352
388,17.802406632373206,-28.461813358340173,10.800772272836843,-5.329703362983484,23.13210999535669,10.800772272836843,4,0.0980440828859554,-4.070133043407895,11.117863149500627,8.32485199582827,7.0477301060927315,-15.187996192908521,8.32485199582827
389,18.07483700637916,-28.523842205995766,10.566603297246862,-5.224502599808304,23.299339606187463,10.566603297246862,7,0.4933185804458786,-4.1860706054892285,9.561771116385183,8.562313363370766,5.375700510895954,-13.747841721874412,8.562313363370766
390,18.079814596805505,-28.467877141130806,10.505649410711785,-5.1940312721626505,23.27384586896816,10.505649410711785,1,0.8650654115497133,-4.29776140400457,8.02561481646118,8.790619441365303,3.7278534124566107,-12.32337622046575,8.790619441365303
