point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_compressed,E_tb_2_compressed,E_tb_3_compressed
96,2.990215143595284,-25.94308377319897,-51.31140213836026,1.4092162532786876,-22.31216325506163,-51.54330789128913,-0.0942330524360871,-26.7813354591314,-47.4657616272476
97,3.237790408427649,-26.00953807850397,-51.41833160644851,1.3777942704180808,-22.06296957962627,-51.70910832905935,0.1629031721165533,-26.665481105896248,-47.763171575017125
98,3.481940735086958,-26.08054701710596,-51.51820361844305,1.3452112144101198,-21.81406920418106,-51.875482156376954,0.4142100918053552,-26.57526069818157,-48.02969961373476
99,3.722611294809102,-26.156044735515,-51.61105079020526,1.3116427884648374,-21.56562825065399,-52.042421533538196,0.6570604490374053,-26.51057009824259,-48.262269365977275
100,3.95975206206951,-26.23595814767144,-51.69691686223396,1.2772511918965075,-21.317806934307285,-52.20990862467883,0.8896012137508943,-26.470929724363742,-48.45901895469191
101,4.193317860043027,-26.32020702011688,-51.77585665167943,1.242184648320356,-21.070758742569357,-52.3779160140388,1.1107405299337432,-26.4555389342274,-48.61925867151977
102,4.423268398122826,-26.40870406362388,-51.84793599079029,1.2065770291910385,-20.824629682477184,-52.54640715201435,1.3200980899900498,-26.46331510247023,-48.74340143265053
103,4.649568301409468,-26.50135503220086,-51.91323165079321,1.170547579949792,-20.579557607569935,-52.71533682728601,1.5179281433782137,-26.492923069961517,-48.83286892860902
104,4.87218713207362,-26.59805883041358,-51.97183125016805,1.13420075552516,-20.335671634445873,-52.884651661414324,1.7050239350162515,-26.54280040984944,-48.889976586130345
105,5.091099402487183,-26.69870762999728,-52.02383314624163,1.0976261712645035,-20.09309165840636,-53.05429062241056,1.8826114929485949,-26.61118301562354,-48.91780090229511
106,5.306284580007815,-26.80318699676874,-52.06934630897628,1.0608986745613065,-19.851927976671618,-53.22418555391337,2.0522395963053266,-26.696134248478614,-48.920033234934124
107,5.517727083293268,-26.91137602888814,-52.10849017578023,1.0240785414916567,-19.61228102656827,-53.39426171673168,2.215671609667783,-26.795579537604272,-48.90082462419297
108,5.725416270012063,-27.023147507565,-52.14139448611029,0.9872118016948387,-19.374241244873982,-53.564438339647765,2.3747837488131207,-26.907347059347565,-48.86462659282844
109,5.929346415808905,-27.13836806134952,-52.16819909458336,0.95033069354305,-19.13788905317708,-53.73462917650754,2.5314732766807,-27.029214011365966,-48.81603306807806
110,6.129516684373715,-27.25689834520081,-52.18905376125143,0.9134542503643847,-18.903294972690755,-53.90474306676197,2.687579124073736,-27.158957085887856,-48.75962854942016
