k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight,baseline_iterations,corrected_iterations,baseline_final_hopping_norm,corrected_final_hopping_norm
0.0,2.5,0.09795283982423236,0.10214848982178483,0.004195649997552467,25.0,98.0,8.684464107421991e-11,9.373948444250014e-11
0.0,3.333333333333343,0.047267770868297934,0.07905138418939212,0.03178361332109418,17.0,98.0,4.561229664388299e-11,9.484262522846032e-11
0.0,4.166666666666671,0.025420071273740782,0.06564913491260092,0.04022906363886014,13.0,94.0,2.346109327716998e-11,8.400077949373502e-11
0.0,5.0,0.016282653141615127,0.05507792810321678,0.03879527496160165,11.0,86.0,2.00480755736239e-11,7.550356739531724e-11
0.0,5.833333333333343,0.011586218131854441,0.04465173029837993,0.03306551216652549,10.0,73.0,2.6926108309777427e-11,9.16920939583606e-11
0.0,6.666666666666671,0.008805645060375584,0.032822879349389496,0.024017234289013912,10.0,56.0,5.692557698866634e-12,8.963125984828752e-11
0.0,7.5,0.00699908474399839,0.019757832150777893,0.012758747406779503,9.0,36.0,3.35905481881866e-11,8.872529114296005e-11
0.0,8.333333333333343,0.005746398997684597,0.011443339066887204,0.005696940069202607,9.0,24.0,1.1878135966890073e-11,5.584957185733011e-11
0.0,9.166666666666671,0.0048349177154302985,0.007853327088414316,0.0030184093729840175,9.0,19.0,4.575139509336391e-12,3.1659465465288667e-11
0.0,10.0,0.004146628381777443,0.005985452524590615,0.001838824142813172,8.0,16.0,5.98740455435165e-11,3.76463578968407e-11
0.0,10.833333333333343,0.003611321193526405,0.004831714674686393,0.0012203934811599875,8.0,14.0,2.883076469589248e-11,5.50542661906083e-11
0.0,11.666666666666671,0.0031848783397111745,0.0040423702584498015,0.000857491918738627,8.0,13.0,1.4520347910024362e-11,3.3369521961137154e-11
0.0,12.5,0.0028383264063223247,0.003466038974068061,0.0006277125677457362,8.0,12.0,7.610143275527193e-12,3.8279355197150484e-11
0.0,13.333333333333343,0.002551931726932347,0.003025957157725017,0.0004740254307926701,8.0,11.0,4.13335392324538e-12,7.432442521187408e-11
0.0,14.166666666666671,0.002311835917365049,0.002678702803812064,0.00036686688644701516,8.0,11.0,2.317032527069751e-12,1.6532368463880642e-11
0.0,15.0,0.0021080491435002016,0.002397708748240156,0.00028965960473995456,7.0,10.0,7.184411441209068e-11,6.4382558401703e-11
0.0,15.833333333333343,0.0019332059907087354,0.002165737272845267,0.00023253128213653138,7.0,10.0,4.573226713246961e-11,1.999042908403749e-11
0.0,16.66666666666667,0.0017817680857657079,0.001971083229488948,0.00018931514372324014,7.0,10.0,2.969793323341205e-11,6.674489251136254e-12
0.0,17.5,0.0016494980961197275,0.001805504401581879,0.00015600630546215143,7.0,9.0,1.9635250651629668e-11,5.344889811381623e-11
0.0,18.333333333333343,0.0015331038584097312,0.0016630221532263755,0.00012991829481664432,7.0,9.0,1.3198704006304877e-11,2.2371133809388563e-11
0.0,19.16666666666667,0.0014299921611658974,0.0015391910861440397,0.00010919892497814228,7.0,9.0,9.00322661491268e-12,9.783497436295847e-12
0.0,20.0,0.0013380949618465353,0.0014306357180883314,9.254075624179608e-05,7.0,9.0,6.22690177152438e-12,4.450060829507956e-12
0.024390243902439025,-80.0,0.0007502598300228112,0.0007207015862847459,-2.955824373806527e-05,7.0,6.0,1.3138408105633873e-12,6.340769881826662e-11
